Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,11,1.15 [1.06-1.26],0.00123311418981036,cis
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,N14_DIALYSIS,Inverse variance weighted,11,1.29 [1-1.67],0.0507509400522005,cis
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,11,1.04 [1-1.09],0.0537954103242493,cis
NXPH3,Neurexophilin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_FLUIDELECTRO,Inverse variance weighted,11,1.09 [1-1.19],0.0609608398551781,cis
NXPH3,Neurexophilin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERKALAEMIA,Inverse variance weighted,11,1.2 [0.97-1.49],0.0961903414673592,cis
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,N14_RENFAILNAS,Inverse variance weighted,11,1.11 [0.95-1.31],0.193866303630901,cis
NXPH3,Neurexophilin-3,Chapter IX Diseases of the circulatory system,I9_AF,Inverse variance weighted,11,1.04 [0.98-1.11],0.204572856277353,cis
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,N14_CHRONEPHROPATH,Inverse variance weighted,11,1.14 [0.89-1.46],0.294190268011384,cis
NXPH3,Neurexophilin-3,Chapter IX Diseases of the circulatory system,I9_HYPTENSRD,Inverse variance weighted,11,1.12 [0.87-1.44],0.395459351770186,cis
NXPH3,Neurexophilin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2REN,Inverse variance weighted,11,0.94 [0.8-1.1],0.447159476149181,cis
NXPH3,Neurexophilin-3,Chapter IX Diseases of the circulatory system,I9_HEARTFAIL,Inverse variance weighted,11,1.02 [0.97-1.08],0.460047543893934,cis
NXPH3,Neurexophilin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_PARATHYRO,Inverse variance weighted,11,0.97 [0.86-1.08],0.548723858707301,cis
