Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter X Diseases of the respiratory system,J10_RESPIRATORY,Inverse variance weighted,5,1.03 [0.99-1.07],0.184594931884194,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_CHOLELITH,Inverse variance weighted,9,1.04 [0.98-1.09],0.215686743386123,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter X Diseases of the respiratory system,J10_LOWCHRON,Inverse variance weighted,9,0.98 [0.93-1.02],0.322844707763744,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERKALAEMIA,Inverse variance weighted,9,0.84 [0.56-1.26],0.399300184374098,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_GALLBILPANC,Inverse variance weighted,5,1.03 [0.96-1.09],0.422526946512351,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,9,1.12 [0.83-1.5],0.46475276047524,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,9,1.09 [0.8-1.49],0.577670681975358,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter IX Diseases of the circulatory system,I9_HYPTENSRD,Inverse variance weighted,9,1.11 [0.75-1.64],0.592671145358735,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,9,0.97 [0.85-1.1],0.602503644586817,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,9,1.02 [0.93-1.13],0.626082382283533,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter XV Pregnancy, childbirth and the puerperium",O15_DELIV_PERIN_LACER,Inverse variance weighted,9,1.03 [0.9-1.2],0.642392353823786,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,9,0.99 [0.94-1.04],0.652580910131428,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XIV Diseases of the genitourinary system,N14_ACUTERENFAIL,Inverse variance weighted,9,0.97 [0.85-1.12],0.706941923719506,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_BCKGRND_RETINA,Inverse variance weighted,5,0.97 [0.78-1.2],0.766452911534347,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter XV Pregnancy, childbirth and the puerperium",O15_COMPLIC_LAB_DELIV,Inverse variance weighted,9,1 [0.95-1.06],0.881573244749589,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter XV Pregnancy, childbirth and the puerperium",O15_MATERN_CARE,Inverse variance weighted,9,1.01 [0.93-1.08],0.883327790889459,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Inverse variance weighted,5,0.98 [0.68-1.41],0.895689450765498,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,9,1.01 [0.88-1.16],0.903741931267962,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,5,1.01 [0.91-1.12],0.92461821832418,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_METABOLIA,Inverse variance weighted,9,1 [0.94-1.06],0.948628324876527,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,9,1.01 [0.8-1.27],0.959049690945169,cis
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,4,0.45 [0.18-1.16],0.0991889407040762,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_METABOLIA,Inverse variance weighted,4,0.91 [0.78-1.07],0.255439267841121,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XIV Diseases of the genitourinary system,N14_ACUTERENFAIL,Inverse variance weighted,4,0.8 [0.53-1.22],0.296685417555457,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERKALAEMIA,Inverse variance weighted,4,0.6 [0.21-1.73],0.34330658703959,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter XV Pregnancy, childbirth and the puerperium",O15_MATERN_CARE,Inverse variance weighted,4,1.16 [0.84-1.61],0.364630943872346,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,4,0.86 [0.61-1.21],0.397331255888866,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,4,0.83 [0.52-1.32],0.428833865043835,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter IX Diseases of the circulatory system,I9_HYPTENSRD,Inverse variance weighted,4,1.35 [0.49-3.67],0.559977291127602,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter XV Pregnancy, childbirth and the puerperium",O15_COMPLIC_LAB_DELIV,Inverse variance weighted,4,0.94 [0.74-1.19],0.584213924877276,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,4,0.91 [0.61-1.35],0.640561166197702,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter X Diseases of the respiratory system,J10_LOWCHRON,Inverse variance weighted,4,0.95 [0.77-1.18],0.644724911349386,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_CHOLELITH,Inverse variance weighted,4,0.94 [0.7-1.25],0.674695582024137,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,4,0.86 [0.41-1.8],0.683224374913757,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,4,0.97 [0.81-1.15],0.694697835919838,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,"Chapter XV Pregnancy, childbirth and the puerperium",O15_DELIV_PERIN_LACER,Inverse variance weighted,4,0.9 [0.41-1.96],0.782282598814765,trans
CD8A,T-cell surface glycoprotein CD8 alpha chain,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,4,0.9 [0.33-2.44],0.833753229292904,trans
