Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_AF,Wald ratio,1,1.33 [1.11-1.59],0.00188077583202879,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_METABOLIA,Wald ratio,1,1.17 [1.03-1.33],0.013680245818134,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_LIPOPROT,Wald ratio,1,1.2 [1.03-1.39],0.0158613462668848,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter XIV Diseases of the genitourinary system,N14_GENITOURINARY,Inverse variance weighted,2,1.07 [1-1.14],0.040045433506502,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERCHOL,Wald ratio,1,1.17 [0.98-1.39],0.0755203147655919,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter XII Diseases of the skin and subcutaneous tissue,L12_SKIN_SUBCUTAN,Inverse variance weighted,2,1.07 [0.99-1.16],0.105106193376732,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,Wald ratio,1,1.35 [0.93-1.94],0.111818271617857,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_SECONDRIGHT,Wald ratio,1,1.79 [0.81-3.95],0.150362152495068,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Wald ratio,1,0.64 [0.29-1.38],0.250656970704399,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_PAROXTAC,Wald ratio,1,1.16 [0.88-1.53],0.285259060956476,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_HYPTENSPUL,Wald ratio,1,2.31 [0.43-12.43],0.327788038815203,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Wald ratio,1,0.75 [0.41-1.38],0.352955855438556,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_VARICVE,Wald ratio,1,1.08 [0.91-1.27],0.37686807199925,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_HYPOTE,Wald ratio,1,1.16 [0.78-1.73],0.449181891075491,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter VI Diseases of the nervous system,NEURODEGOTH,Wald ratio,1,1.08 [0.84-1.38],0.554218835971985,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_PULMOTHHD,Inverse variance weighted,2,0.85 [0.4-1.8],0.672763525464138,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter XI Diseases of the digestive system,K11_LIVER,Wald ratio,1,1.03 [0.8-1.33],0.807810729734897,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_RBBB,Wald ratio,1,1.06 [0.46-2.45],0.889784227977934,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,2,1 [0.86-1.18],0.953678035378344,cis
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_LIPOPROT,Inverse variance weighted,11,1.23 [0.91-1.67],0.168893579530907,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_METABOLIA,Inverse variance weighted,11,1.16 [0.93-1.45],0.188080567565807,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERCHOL,Inverse variance weighted,11,1.25 [0.89-1.74],0.194773247116373,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_VARICVE,Inverse variance weighted,11,1.06 [0.97-1.16],0.226485748767121,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter VI Diseases of the nervous system,NEURODEGOTH,Inverse variance weighted,11,0.93 [0.83-1.05],0.262306433890335,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_AF,Inverse variance weighted,11,1.09 [0.93-1.27],0.271659209656514,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_PAROXTAC,Inverse variance weighted,11,1.08 [0.94-1.23],0.284252971914824,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,11,0.93 [0.79-1.09],0.371985441195092,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_HYPOTE,Inverse variance weighted,11,1.1 [0.87-1.4],0.422724006664983,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_RBBB,Inverse variance weighted,11,1.1 [0.73-1.65],0.651636788306853,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,11,0.92 [0.63-1.33],0.65667322570859,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,11,0.95 [0.71-1.27],0.719339840562123,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,Inverse variance weighted,11,1.04 [0.83-1.3],0.757316455101602,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_SECONDRIGHT,Inverse variance weighted,11,0.94 [0.64-1.39],0.766605833387379,trans
LCAT,Phosphatidylcholine-sterol acyltransferase,Chapter IX Diseases of the circulatory system,I9_HYPTENSPUL,Inverse variance weighted,11,1.05 [0.46-2.38],0.90931824845743,trans
