Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
IL1RL1,Interleukin-1 receptor-like 1,Chapter VI Diseases of the nervous system,G6_NEURO,Inverse variance weighted,18,1.06 [1.03-1.08],1.92948219230935e-06,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter X Diseases of the respiratory system,J10_ASTHMA_EXMORE,Inverse variance weighted,44,0.94 [0.91-0.97],0.00019812109770316,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter X Diseases of the respiratory system,J10_LOWCHRON,Inverse variance weighted,44,0.95 [0.92-0.98],0.000290147288021522,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter X Diseases of the respiratory system,J10_LOWERINF,Inverse variance weighted,44,0.95 [0.91-0.98],0.00345292053469601,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter X Diseases of the respiratory system,ASTHMA_NAS,Inverse variance weighted,44,0.95 [0.91-0.98],0.00666711430197554,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OSTEOCHONDRO,Inverse variance weighted,44,1.04 [1.01-1.08],0.00805201792486887,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter V Mental and behavioural disorders,KRA_PSY_MOOD_EXMORE,Inverse variance weighted,18,1.05 [1.01-1.08],0.0111266033987598,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter XII Diseases of the skin and subcutaneous tissue,L12_ULCERLOWLIMB,Inverse variance weighted,44,1.09 [1.02-1.17],0.0156669294966502,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter VI Diseases of the nervous system,NEURODEGOTH,Inverse variance weighted,44,1.05 [1.01-1.1],0.0165653246017599,cis
IL1RL1,Interleukin-1 receptor-like 1,Chapter XIV Diseases of the genitourinary system,N14_URINOTH,Inverse variance weighted,44,1.03 [1-1.05],0.0190073354673881,cis
IL1RL1,Interleukin-1 receptor-like 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_MG_MET,Inverse variance weighted,44,1.47 [1.04-2.08],0.0281083704760245,cis
