Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
SUSD5,Sushi domain-containing protein 5,Chapter XIV Diseases of the genitourinary system,N14_GENITOURINARY,Inverse variance weighted,12,0.96 [0.94-0.99],0.00319968485521542,cis
SUSD5,Sushi domain-containing protein 5,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERKALAEMIA,Inverse variance weighted,22,1.17 [1.02-1.33],0.0229314904173875,cis
SUSD5,Sushi domain-containing protein 5,Chapter IX Diseases of the circulatory system,I9_PHLETHROM,Inverse variance weighted,22,1.07 [1.01-1.14],0.0242003238324668,cis
SUSD5,Sushi domain-containing protein 5,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_IMPLICIT,Inverse variance weighted,12,0.96 [0.92-1],0.0347260499513262,cis
SUSD5,Sushi domain-containing protein 5,Chapter IX Diseases of the circulatory system,I9_HYPTENS,Inverse variance weighted,22,1.02 [1-1.05],0.0556370838855945,cis
SUSD5,Sushi domain-containing protein 5,Chapter IX Diseases of the circulatory system,PHLEB_VENAE_ILIAC_EXTER,Inverse variance weighted,12,1.13 [0.99-1.29],0.0594650780640355,cis
SUSD5,Sushi domain-containing protein 5,Chapter XIV Diseases of the genitourinary system,N14_CHRONEPHROPATH,Inverse variance weighted,22,1.15 [0.99-1.34],0.0676688928825392,cis
SUSD5,Sushi domain-containing protein 5,Chapter XIV Diseases of the genitourinary system,N14_DIALYSIS,Inverse variance weighted,22,1.17 [0.98-1.39],0.0896105553980032,cis
SUSD5,Sushi domain-containing protein 5,Chapter XIV Diseases of the genitourinary system,N14_OBSTRUREFLUROPATH,Inverse variance weighted,22,0.93 [0.86-1.01],0.0952304883467702,cis
SUSD5,Sushi domain-containing protein 5,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM1NOCOMP,Inverse variance weighted,12,1.11 [0.98-1.25],0.101485545430269,cis
SUSD5,Sushi domain-containing protein 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_SLE,Inverse variance weighted,12,1.46 [0.91-2.35],0.117306144270588,cis
SUSD5,Sushi domain-containing protein 5,Chapter IX Diseases of the circulatory system,I9_HYPTENSRD,Inverse variance weighted,22,1.14 [0.96-1.36],0.131995031395181,cis
SUSD5,Sushi domain-containing protein 5,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACT_INOTHER,Inverse variance weighted,22,0.79 [0.58-1.07],0.133330065558987,cis
SUSD5,Sushi domain-containing protein 5,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,Inverse variance weighted,12,0.97 [0.94-1.01],0.157254054026009,cis
