Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
SPINT1,Kunitz-type protease inhibitor 1,Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,Inverse variance weighted,7,0.67 [0.51-0.87],0.00344169105164256,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter X Diseases of the respiratory system,J10_VIRALPNEUMO,Inverse variance weighted,7,0.78 [0.64-0.95],0.0116358518497393,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter VI Diseases of the nervous system,NEURODEGOTH,Inverse variance weighted,7,1.14 [1.02-1.27],0.016310961817334,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter IX Diseases of the circulatory system,I9_HYPTENSRD,Inverse variance weighted,7,1.52 [1.07-2.17],0.0195196074182935,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIAINCHRONICDISEASE,Inverse variance weighted,7,0.59 [0.37-0.93],0.023348007695265,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter V Mental and behavioural disorders,F5_DEPRESSIO,Inverse variance weighted,7,1.07 [1.01-1.13],0.0255335789564675,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter XIV Diseases of the genitourinary system,N14_ACUTERENFAIL,Inverse variance weighted,7,1.18 [1.01-1.36],0.0320142558900175,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter XI Diseases of the digestive system,K11_OTHINFLIV,Inverse variance weighted,7,1.33 [1.02-1.73],0.036614146205724,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter XI Diseases of the digestive system,CHRONNAS,Inverse variance weighted,7,1.32 [1.02-1.7],0.0378087671200946,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERM_NAS,Inverse variance weighted,4,1.18 [1-1.38],0.0453753450139124,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter XI Diseases of the digestive system,K11_GALLBILPANC,Inverse variance weighted,4,0.93 [0.87-1],0.0499968217834349,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter II Neoplasms,CD2_LYMPHOID_LEUKAEMIA_EXALLC,Inverse variance weighted,7,0.75 [0.56-1],0.0503516052850229,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,7,1.06 [1-1.13],0.050464104779613,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter IX Diseases of the circulatory system,I9_ATHSCLE,Inverse variance weighted,7,1.1 [1-1.21],0.05579387657614,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,7,1.11 [0.99-1.26],0.0779169396087727,cis
SPINT1,Kunitz-type protease inhibitor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,Inverse variance weighted,7,1.14 [0.97-1.34],0.103593829963634,cis
SPINT1,Kunitz-type protease inhibitor 1,Chapter XII Diseases of the skin and subcutaneous tissue,L12_DECUBITANSULCERANDPRESSURE,Inverse variance weighted,7,1.27 [0.95-1.71],0.105914616229567,cis
SPINT1,Kunitz-type protease inhibitor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_MINERAL_MET,Inverse variance weighted,7,0.82 [0.63-1.06],0.121114058377917,cis
SPINT1,Kunitz-type protease inhibitor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_GLUCOPANCREAS,Inverse variance weighted,7,0.84 [0.67-1.05],0.123369160529457,cis
