Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,2,0.5 [0.27-0.92],0.025379472585975,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROPATHIES,Inverse variance weighted,2,0.81 [0.67-0.98],0.0265027399533972,cis
MMP13,Collagenase 3,Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,Inverse variance weighted,2,1.51 [1.03-2.21],0.0349427496059341,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_POLYARTHROPATHIES,Inverse variance weighted,2,0.71 [0.51-0.99],0.0424078300309648,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Inverse variance weighted,2,0.6 [0.36-1.01],0.0524318162256544,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_INCLAVO,Inverse variance weighted,2,0.82 [0.66-1.02],0.0737767186177372,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,Inverse variance weighted,2,0.81 [0.64-1.04],0.0976040622672996,cis
MMP13,Collagenase 3,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,2,1.29 [0.95-1.73],0.0993672621583918,cis
MMP13,Collagenase 3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERKALAEMIA,Inverse variance weighted,2,0.43 [0.1-1.81],0.251502474148704,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_KNEE,Inverse variance weighted,2,0.84 [0.63-1.13],0.25292702926975,cis
MMP13,Collagenase 3,Chapter XII Diseases of the skin and subcutaneous tissue,L12_CELLULITIS,Inverse variance weighted,2,0.7 [0.36-1.36],0.291914218598248,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHTROSIS_COX,Inverse variance weighted,2,0.83 [0.56-1.23],0.342499319617372,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MUSCULOSKELETAL,Wald ratio,1,0.9 [0.72-1.14],0.385958906249891,cis
MMP13,Collagenase 3,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_BACT_IMPL,Wald ratio,1,0.81 [0.46-1.43],0.463903846649941,cis
MMP13,Collagenase 3,Chapter XIV Diseases of the genitourinary system,N14_RENFAILNAS,Inverse variance weighted,2,1.69 [0.41-7.04],0.470621343966951,cis
MMP13,Collagenase 3,Chapter IX Diseases of the circulatory system,I9_HYPTENSRD,Inverse variance weighted,2,1.85 [0.33-10.26],0.481278734185962,cis
MMP13,Collagenase 3,Chapter XIV Diseases of the genitourinary system,N14_ACUTERENFAIL,Inverse variance weighted,2,0.79 [0.39-1.61],0.514489291571815,cis
MMP13,Collagenase 3,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,2,1.21 [0.68-2.16],0.515678325825999,cis
MMP13,Collagenase 3,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_IMPLICIT,Wald ratio,1,0.88 [0.58-1.32],0.536443803147543,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OTHERJOINT,Inverse variance weighted,2,0.94 [0.75-1.17],0.568226665919618,cis
MMP13,Collagenase 3,Chapter XIV Diseases of the genitourinary system,N14_DIALYSIS,Inverse variance weighted,2,1.51 [0.27-8.36],0.636388569684836,cis
MMP13,Collagenase 3,Chapter XIV Diseases of the genitourinary system,N14_CHRONEPHROPATH,Inverse variance weighted,2,0.74 [0.14-3.8],0.717493227028564,cis
MMP13,Collagenase 3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_ENDOGLAND,Inverse variance weighted,2,1.09 [0.69-1.7],0.717946510126728,cis
MMP13,Collagenase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_OTH,Inverse variance weighted,2,1.07 [0.72-1.6],0.726578893687157,cis
