Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
MSR1,Macrophage scavenger receptor types I and II,Chapter X Diseases of the respiratory system,J10_INFLUPNEU,Inverse variance weighted,8,1.05 [1.01-1.08],0.00675664230003683,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter IX Diseases of the circulatory system,I9_HYPTENSPUL,Inverse variance weighted,8,0.54 [0.35-0.85],0.0072320209417714,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,Inverse variance weighted,8,1.32 [1.07-1.62],0.00877356758756831,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter IX Diseases of the circulatory system,I9_MI_STRICT,Inverse variance weighted,8,1.06 [1.01-1.12],0.0240809127380094,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter VI Diseases of the nervous system,FALLS,Inverse variance weighted,8,1.03 [1-1.06],0.0320049490832573,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHTROSIS_COX,Inverse variance weighted,8,0.95 [0.9-1],0.041579160679205,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,Inverse variance weighted,8,0.9 [0.82-1],0.044400463784161,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_INCLAVO,Inverse variance weighted,8,0.96 [0.93-1],0.044529739240854,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter X Diseases of the respiratory system,J10_LOWCHRON,Inverse variance weighted,8,1.03 [1-1.06],0.0480481782724395,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,Inverse variance weighted,8,0.95 [0.9-1],0.0484675520555894,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter I Certain infectious and parasitic diseases,AB1_BACTINF_NOS,Inverse variance weighted,8,0.95 [0.9-1],0.0485556273446424,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,Inverse variance weighted,8,0.97 [0.94-1],0.0500598054516143,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,JOINTPAIN,Inverse variance weighted,8,1.05 [1-1.1],0.0523180709928416,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter IX Diseases of the circulatory system,I9_CHD,Inverse variance weighted,8,1.04 [1-1.08],0.0615665396371327,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter IX Diseases of the circulatory system,I9_ARTEMBTHRLOW,Inverse variance weighted,8,0.81 [0.64-1.02],0.0742405116118499,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter IX Diseases of the circulatory system,I9_HYPTENSRD,Inverse variance weighted,8,0.77 [0.57-1.03],0.074550522422268,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XI Diseases of the digestive system,K11_DULC,Inverse variance weighted,8,1.11 [0.99-1.26],0.0805522370937791,cis
MSR1,Macrophage scavenger receptor types I and II,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_ACIDOSIS,Inverse variance weighted,8,0.72 [0.5-1.05],0.0882984633373987,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter X Diseases of the respiratory system,COPD_LATER,Inverse variance weighted,8,1.07 [0.99-1.15],0.0889463151145722,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_SLE,Inverse variance weighted,5,0.61 [0.35-1.08],0.0910641745902403,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter X Diseases of the respiratory system,J10_PLEURA,Inverse variance weighted,8,1.05 [0.99-1.12],0.0955846053675269,cis
MSR1,Macrophage scavenger receptor types I and II,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",H7_CHOROIDRETINA,Inverse variance weighted,8,0.96 [0.92-1.01],0.0960196672367832,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_SEPSIS,Inverse variance weighted,8,0.95 [0.88-1.01],0.0974844974419264,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_KNEE,Inverse variance weighted,8,0.97 [0.93-1.01],0.112023792995525,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OSTEOMYELITIS,Inverse variance weighted,8,0.87 [0.73-1.04],0.119468890173466,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIAINCHRONICDISEASE,Inverse variance weighted,8,0.79 [0.58-1.07],0.121788896111366,cis
MSR1,Macrophage scavenger receptor types I and II,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",H7_CATARACTOTHER,Inverse variance weighted,8,0.95 [0.9-1.01],0.121989786919634,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_POLYARTHROPATHIES,Inverse variance weighted,8,0.97 [0.93-1.01],0.123525754394103,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XI Diseases of the digestive system,K11_GASTRODUOULC,Inverse variance weighted,8,1.06 [0.98-1.15],0.124038674977608,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OSTEOPOROSIS,Inverse variance weighted,8,0.94 [0.86-1.02],0.136823489533719,cis
MSR1,Macrophage scavenger receptor types I and II,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERKALAEMIA,Inverse variance weighted,8,1.16 [0.95-1.42],0.136831240737409,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter IX Diseases of the circulatory system,I9_IHD,Inverse variance weighted,8,1.03 [0.99-1.06],0.137570770098328,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIV Diseases of the genitourinary system,N14_KIDUROTH,Inverse variance weighted,8,1.1 [0.97-1.25],0.152430746880559,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter X Diseases of the respiratory system,J10_INFLUENZA,Inverse variance weighted,8,1.06 [0.98-1.14],0.154117222345312,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XI Diseases of the digestive system,K11_GALLBILPANC,Inverse variance weighted,5,1.05 [0.98-1.12],0.170014201277673,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_BACT_IMPL,Inverse variance weighted,5,0.95 [0.88-1.02],0.183140767291622,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XI Diseases of the digestive system,K11_OTHDIG,Inverse variance weighted,8,1.04 [0.98-1.11],0.19053307628573,cis
MSR1,Macrophage scavenger receptor types I and II,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_PLASMAPROT,Inverse variance weighted,8,1.66 [0.78-3.54],0.191445511433804,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_OTHER_INTEST_INFECTIONS,Inverse variance weighted,8,0.94 [0.85-1.03],0.201579876737965,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_BLOOD_IMMUN,Inverse variance weighted,5,1.03 [0.99-1.07],0.204908387102579,cis
MSR1,Macrophage scavenger receptor types I and II,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_VIT_D_DEF,Inverse variance weighted,8,1.25 [0.88-1.8],0.217525631043301,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter IX Diseases of the circulatory system,I9_OTHPER,Inverse variance weighted,8,0.91 [0.78-1.06],0.219674135488349,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter V Mental and behavioural disorders,ALCOHOLMENTAL,Inverse variance weighted,5,1.06 [0.97-1.15],0.220507621904748,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIV Diseases of the genitourinary system,N14_GENITOURINARY,Inverse variance weighted,5,0.98 [0.96-1.01],0.23349812896444,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter IX Diseases of the circulatory system,I9_CORATHER,Inverse variance weighted,8,1.02 [0.98-1.07],0.239603081199243,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter X Diseases of the respiratory system,J10_EXTERLUNG,Inverse variance weighted,8,0.94 [0.84-1.05],0.241564894230108,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Inverse variance weighted,8,0.96 [0.9-1.03],0.241640821913359,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,8,0.95 [0.88-1.03],0.245710062412962,cis
MSR1,Macrophage scavenger receptor types I and II,Chapter VI Diseases of the nervous system,G6_NERPLEX,Inverse variance weighted,8,1.03 [0.98-1.07],0.249767028401145,cis
