Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,ACE2,Angiotensin-converting enzyme 2,16998,182,1.74 [1.42-2.13],9.491150213590153e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,ADAMTSL2,ADAMTS-like protein 2,15076,158,3.07 [2.21-4.27],2.279665275357508e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,ADGRG2,Adhesion G-protein coupled receptor G2,17280,187,0.44 [0.33-0.58],7.636722670166036e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,ADM,Pro-adrenomedullin,17449,188,7.76 [4.65-12.96],4.585587691317208e-15
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,AGXT,Serine--pyruvate aminotransferase,17280,187,1.57 [1.35-1.83],8.105559091853293e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,ANGPT2,Angiopoietin-2,17449,188,2.85 [2.11-3.83],5.3703645341100845e-12
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,AREG,Amphiregulin,17211,184,3.10 [2.43-3.95],7.541155807079887e-20
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,ASGR1,Asialoglycoprotein receptor 1,17158,182,3.64 [2.59-5.13],1.3219140393771158e-13
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,BST2,Bone marrow stromal antigen 2,17458,186,1.76 [1.44-2.16],5.8650395486748703e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,C7,Complement component C7,14723,156,3.35 [2.15-5.21],8.628430031367767e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CCL20,C-C motif chemokine 20,17517,188,1.44 [1.30-1.60],1.4475946003248418e-12
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CD300E,CMRF35-like molecule 2,17402,188,2.32 [1.74-3.08],8.648146719415674e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,15025,158,0.59 [0.49-0.71],4.4029325450840656e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CGA,Glycoprotein hormones alpha chain,17295,180,1.74 [1.46-2.08],7.80756610146484e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CHAD,Chondroadherin,14748,149,0.36 [0.26-0.49],2.345450786088493e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",15031,158,2.47 [1.84-3.31],1.476521444884738e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CHGA,Chromogranin-A,15076,158,1.68 [1.49-1.91],2.8720753224113237e-16
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CHI3L1,Chitinase-3-like protein 1,16941,178,1.63 [1.43-1.86],1.975150229005603e-13
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CKAP4,Cytoskeleton-associated protein 4,17426,188,2.47 [1.82-3.36],7.646607677385272e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CLEC4D,C-type lectin domain family 4 member D,17283,186,1.74 [1.44-2.12],2.23437159596288e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,COL18A1,Collagen alpha-1(XVIII) chain,17357,188,6.91 [4.06-11.77],1.0506606753831077e-12
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,COL4A1,Collagen alpha-1(IV) chain,17280,187,2.53 [1.86-3.45],4.378028642787726e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,COL5A1,Collagen alpha-1(V) chain,14748,149,2.27 [1.73-2.97],2.4232777905504484e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,CTSD,Cathepsin D,16201,172,1.91 [1.53-2.38],8.408170814287722e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",17337,188,2.62 [1.96-3.51],8.723938790924637e-11
