Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Interstitial lung disease,PLA2G15,Phospholipase A2 group XV,Inverse variance weighted,32,0.88 [0.80-0.97],0.007296832972748
Chapter X Diseases of the respiratory system,Interstitial lung disease,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,2.04 [1.40-2.97],0.0002056765244538
Chapter X Diseases of the respiratory system,Interstitial lung disease,LGALS9,Galectin-9,Inverse variance weighted,39,1.14 [1.04-1.25],0.0056699835195255
Chapter X Diseases of the respiratory system,Interstitial lung disease,NELL2,Protein kinase C-binding protein NELL2,Inverse variance weighted,33,1.24 [1.08-1.43],0.0025146619379539
Chapter X Diseases of the respiratory system,Interstitial lung disease,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,2.78 [1.36-5.68],0.0049738276329252
Chapter X Diseases of the respiratory system,Interstitial lung disease,BPIFB1,BPI fold-containing family B member 1,Inverse variance weighted,58,1.13 [1.03-1.22],0.0058701135998708
Chapter X Diseases of the respiratory system,Interstitial lung disease,MDK,Midkine,Inverse variance weighted,19,1.32 [1.09-1.60],0.0045988023032862
Chapter X Diseases of the respiratory system,Interstitial lung disease,S100A11,Protein S100-A11,Inverse variance weighted,2,0.59 [0.44-0.79],0.0004053458385632
Chapter X Diseases of the respiratory system,Interstitial lung disease,PON3,Serum paraoxonase/lactonase 3,Inverse variance weighted,30,0.90 [0.84-0.97],0.0076659519193554
Chapter X Diseases of the respiratory system,Interstitial lung disease,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,11,1.31 [1.09-1.58],0.0044609467394119
