Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,LPA,Apolipoprotein(a),Inverse variance weighted,46,1.15 [1.12-1.18],3.83858564432698e-21
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,MYBPC1,"Myosin-binding protein C, slow-type",Inverse variance weighted,13,0.86 [0.77-0.95],0.0033659567562404
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IL12A_IL12B,Interleukin-12,Inverse variance weighted,57,0.97 [0.94-0.99],0.0078139524987172
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,KRT18,"Keratin, type I cytoskeletal 18",Inverse variance weighted,8,1.17 [1.06-1.29],0.0027233977256999
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IL6,Interleukin-6,Inverse variance weighted,6,0.88 [0.81-0.96],0.0023733130254945
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ICAM5,Intercellular adhesion molecule 5,Inverse variance weighted,49,1.05 [1.02-1.08],0.0042023195650302
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FGF5,Fibroblast growth factor 5,Inverse variance weighted,43,1.05 [1.02-1.08],0.0016146727524049
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IGDCC4,Immunoglobulin superfamily DCC subclass member 4,Inverse variance weighted,25,1.05 [1.02-1.10],0.0055304652233444
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PCSK9,Proprotein convertase subtilisin/kexin type 9,Inverse variance weighted,13,1.25 [1.14-1.37],1.8443130768709e-06
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FABP2,"Fatty acid-binding protein, intestinal",Inverse variance weighted,8,0.87 [0.82-0.93],6.51152015707221e-05
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,0.92 [0.88-0.97],0.0005421936001846
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IL19,Interleukin-19,Inverse variance weighted,21,1.04 [1.01-1.08],0.0087698109291149
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,NPL,N-acetylneuraminate lyase,Inverse variance weighted,16,1.12 [1.04-1.20],0.0016810575557138
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,C1QTNF1,Complement C1q tumor necrosis factor-related protein 1,Inverse variance weighted,11,0.95 [0.92-0.98],0.0003178891461227
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CCL4,C-C motif chemokine 4,Inverse variance weighted,38,1.04 [1.01-1.07],0.0084003682285499
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,Inverse variance weighted,24,1.07 [1.02-1.12],0.0028458350216292
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IFNL1,Interferon lambda-1,Inverse variance weighted,9,1.30 [1.16-1.46],1.03949011104506e-05
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,GRN,Progranulin,Inverse variance weighted,46,1.09 [1.05-1.13],8.6493313260708e-06
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.13 [1.03-1.23],0.0063629703990113
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,Inverse variance weighted,24,0.94 [0.90-0.98],0.006940539992314
