Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Pleural effusion,SIGLEC1,Sialoadhesin,Inverse variance weighted,31,1.16 [1.05-1.28],0.0034002944889266
Chapter X Diseases of the respiratory system,Pleural effusion,RTBDN,Retbindin,Inverse variance weighted,5,1.40 [1.12-1.74],0.0027160885156434
Chapter X Diseases of the respiratory system,Pleural effusion,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,Inverse variance weighted,31,0.85 [0.76-0.94],0.0017776120993755
Chapter X Diseases of the respiratory system,Pleural effusion,GSR,"Glutathione reductase, mitochondrial",Wald ratio,1,0.78 [0.68-0.89],0.0003013864152884
Chapter X Diseases of the respiratory system,Pleural effusion,IL6,Interleukin-6,Inverse variance weighted,6,1.29 [1.08-1.55],0.0054653230356741
Chapter X Diseases of the respiratory system,Pleural effusion,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,1.26 [1.11-1.43],0.0002376565902367
Chapter X Diseases of the respiratory system,Pleural effusion,CTSB,Cathepsin B,Inverse variance weighted,50,0.90 [0.85-0.96],0.0008801985906796
Chapter X Diseases of the respiratory system,Pleural effusion,DKK4,Dickkopf-related protein 4,Inverse variance weighted,18,1.37 [1.08-1.74],0.0085776266357045
Chapter X Diseases of the respiratory system,Pleural effusion,IL12A_IL12B,Interleukin-12,Inverse variance weighted,57,0.89 [0.83-0.96],0.0021580095545046
Chapter X Diseases of the respiratory system,Pleural effusion,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,9,0.73 [0.58-0.93],0.0096484919901343
Chapter X Diseases of the respiratory system,Pleural effusion,CHI3L1,Chitinase-3-like protein 1,Inverse variance weighted,28,0.92 [0.87-0.98],0.0098915185021461
