Unnamed: 0,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0018108,GO:0018108,peptidyl-tyrosine phosphorylation,21/152,373/18800,2.86984030460609e-12,5.49076366200975e-09,3.63851614292595e-09,AREG/CD300A/CD4/CD74/CNTN1/EFNA1/EGFR/EPHA1/EPHA2/EPHB4/FGFR2/GFRA1/HGF/LILRA5/LILRB4/NTRK3/SPINK1/TGFA/TNF/TNFRSF14/TNFRSF1A,21
GO:0018212,GO:0018212,peptidyl-tyrosine modification,21/152,376/18800,3.3429306922433797e-12,5.49076366200975e-09,3.63851614292595e-09,AREG/CD300A/CD4/CD74/CNTN1/EFNA1/EGFR/EPHA1/EPHA2/EPHB4/FGFR2/GFRA1/HGF/LILRA5/LILRB4/NTRK3/SPINK1/TGFA/TNF/TNFRSF14/TNFRSF1A,21
GO:0019221,GO:0019221,cytokine-mediated signaling pathway,23/152,486/18800,8.539910417163859e-12,8.62865957415641e-09,5.7178780739743505e-09,CCL16/CCL20/CD4/CD74/CSF1/CXCL9/EDA2R/IL10RB/IL18R1/IL1RN/IL2RA/KRT18/LILRA5/LILRB4/MMP12/TFF2/TNF/TNFRSF11A/TNFRSF14/TNFRSF1A/TNFRSF1B/TNFRSF4/YAP1,23
GO:0043410,GO:0043410,positive regulation of MAPK cascade,23/152,491/18800,1.05067392074964e-11,8.62865957415641e-09,5.7178780739743505e-09,CCL16/CCL20/CD27/CD4/CD74/CDH2/CHI3L1/EDA2R/EFNA1/EGFR/FGF23/FGFR2/GDF15/HAVCR2/HGF/IGFBP4/LGALS9/LILRA5/LTBR/NTRK3/TGFA/TNF/TNFRSF11A,23
GO:0046718,GO:0046718,viral entry into host cell,14/152,146/18800,1.3423657357625699e-11,8.81934288396011e-09,5.84423650854106e-09,CD4/CD74/CTSL/CXADR/EGFR/EPHA2/HAVCR1/LGALS9/NECTIN2/NECTIN4/SCARB2/SIGLEC1/TNFRSF14/TNFRSF4,14
GO:0002274,GO:0002274,myeloid leukocyte activation,16/152,232/18800,6.680578529941719e-11,3.1351000672655e-08,2.0775092330706e-08,C1QA/CD300A/CD74/CHGA/CLEC4D/CSF1/HAVCR1/HAVCR2/LGALS9/LILRB4/LTBR/NECTIN2/PTGDS/TGFBR2/TNF/VSIG4,16
GO:0033674,GO:0033674,positive regulation of kinase activity,21/152,476/18800,2.71191482932857e-10,9.89848912704927e-08,6.55934487374442e-08,AREG/CD300A/CD4/CD74/CHI3L1/CSF1/EFNA1/EGFR/EPHA1/EPHA2/EPHB4/FAM20A/FGFR2/LILRA5/NTRK3/TGFA/TGFBR2/TNF/TNFRSF10A/TNFRSF10B/TNFRSF11A,21
GO:0050900,GO:0050900,leukocyte migration,19/152,384/18800,3.05162827344843e-10,1.00245988782781e-07,6.64291291525406e-08,B4GALT1/CCL16/CCL20/CCL27/CCN3/CD300A/CD74/CHGA/CSF1/CXADR/CXCL9/LGALS9/NBL1/PGF/RARRES2/TNF/TNFRSF11A/TNFRSF14/UMOD,19
GO:0010951,GO:0010951,negative regulation of endopeptidase activity,15/152,251/18800,1.97729471201699e-09,4.9964716376737e-07,3.31096798740983e-07,AMBP/CD27/COL6A3/CST3/CSTB/HGF/LAMP3/PLAUR/SERPIND1/SERPINF1/SPINK1/SPINK4/TIMP1/TNF/WFDC2,15
GO:0060326,GO:0060326,cell chemotaxis,16/152,315/18800,5.801921843761961e-09,1.12113607392694e-06,7.4293339770277e-07,CCL16/CCL20/CCL27/CCN3/CD74/CHGA/CSF1/CXADR/CXCL9/EPHA2/HGF/LGALS9/NBL1/PGF/RARRES2/TNFRSF11A,16
