Unnamed: 0,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0097529,GO:0097529,myeloid leukocyte migration,33/324,229/18800,4.65802687490204e-21,1.49542771869413e-17,1.0101090260506501e-17,AGER/BSG/CCL11/CCL14/CCL15/CCL16/CCL18/CCL20/CCL21/CCL3/CCL7/CCN3/CD300A/CD74/CHGA/CSF1/CXCL10/CXCL13/CXCL17/CXCL9/EDN1/IL6/LGALS3/NBL1/PGF/PRTN3/S100A12/SFTPD/SLAMF8/TNFRSF11A/TREM2/UMOD/VEGFB,33
GO:0050900,GO:0050900,leukocyte migration,41/324,384/18800,6.4209004666987e-21,1.49542771869413e-17,1.0101090260506501e-17,AGER/BSG/CCL11/CCL14/CCL15/CCL16/CCL18/CCL20/CCL21/CCL3/CCL7/CCN3/CD300A/CD74/CHGA/CSF1/CXCL10/CXCL13/CXCL16/CXCL17/CXCL9/EDN1/ICAM1/IL6/LGALS3/LGALS9/MMP9/NBL1/PGF/PRTN3/S100A12/SELE/SFTPD/SLAMF8/THY1/TNF/TNFRSF11A/TREM2/UMOD/VCAM1/VEGFB,41
GO:0019221,GO:0019221,cytokine-mediated signaling pathway,43/324,486/18800,9.241104415456061e-19,1.4348354789064801e-15,9.69181091150813e-16,CCL11/CCL14/CCL15/CCL16/CCL18/CCL20/CCL21/CCL3/CCL7/CD300LF/CD4/CD74/CSF1/CXCL10/CXCL13/CXCL9/EDA2R/EDN1/EPO/IL12RB1/IL15/IL15RA/IL18/IL18R1/IL1RN/IL2RA/IL6/KRT18/LILRA5/LILRB4/MMP12/OSM/OSMR/TFF2/TNF/TNFRSF11A/TNFRSF19/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFSF13B/TREM2/YAP1,43
GO:0043410,GO:0043410,positive regulation of MAPK cascade,43/324,491/18800,1.3581280221573898e-18,1.5815400818022802e-15,1.06827491006012e-15,ACTA2/ADAM9/AGER/BMPER/CCL11/CCL14/CCL15/CCL16/CCL18/CCL20/CCL21/CCL3/CCL7/CD27/CD4/CD74/CLEC7A/CXCL17/EDA2R/EDN1/EFNA1/EGFR/EPO/FGA/FGF23/GDF15/HAVCR2/HGF/ICAM1/IGFBP4/IL6/LGALS9/LILRA5/LTBR/MMP8/OSM/PLA2G2A/S100A12/TGFA/TNF/TNFRSF11A/TNFRSF19/TREM2,43
GO:0030595,GO:0030595,leukocyte chemotaxis,30/324,236/18800,1.13833523270889e-17,1.06047310279161e-14,7.16312423277239e-15,BSG/CCL11/CCL14/CCL15/CCL16/CCL18/CCL20/CCL21/CCL3/CCL7/CCN3/CD74/CHGA/CSF1/CXCL10/CXCL13/CXCL16/CXCL17/CXCL9/EDN1/IL6/LGALS3/LGALS9/NBL1/PGF/S100A12/SFTPD/SLAMF8/TNFRSF11A/VEGFB,30
GO:0032944,GO:0032944,regulation of mononuclear cell proliferation,29/324,233/18800,7.24384784698989e-17,5.5427167795229703e-14,3.74391097466592e-14,AGER/CD274/CD300A/CD38/CD74/CD80/CSF1/EPO/HAVCR2/HLA-E/IL12RB1/IL15/IL18/IL2RA/IL6/LGALS3/LGALS9/LILRB4/MAD1L1/MZB1/SCGB1A1/SFTPD/ST6GAL1/TFRC/TNFRSF1B/TNFRSF4/TNFSF13B/VCAM1/VSIG4,29
GO:0007159,GO:0007159,leukocyte cell-cell adhesion,36/324,381/18800,9.51947922631683e-17,5.5427167795229703e-14,3.74391097466592e-14,AGER/B2M/CCL21/CD27/CD274/CD300A/CD4/CD74/CD80/CD83/EPO/FGL1/HAVCR2/HLA-E/ICAM1/IL12RB1/IL15/IL18/IL2RA/IL6/ITGA5/LGALS3/LGALS9/LILRB4/MAD1L1/OLR1/SCGB1A1/SELE/SFTPD/TFRC/THY1/TNF/TNFSF13B/UMOD/VCAM1/VSIG4,36
GO:0050867,GO:0050867,positive regulation of cell activation,38/324,436/18800,1.86593976295107e-16,8.6915474158261e-14,5.87083573837974e-14,ACTA2/AGER/B2M/CCL21/CCL3/CD27/CD274/CD38/CD4/CD74/CD80/CD83/CLEC4D/CLEC7A/EPO/HAVCR1/HAVCR2/HLA-E/IGLC2/IL12RB1/IL15/IL15RA/IL18/IL2RA/IL6/LGALS9/LILRA5/LILRB4/MMP8/NECTIN2/TFRC/THY1/TNF/TNFRSF4/TNFSF13/TNFSF13B/TREM2/VCAM1,38
GO:0022407,GO:0022407,regulation of cell-cell adhesion,38/324,456/18800,8.15602579344256e-16,3.16589734548795e-13,2.13845272777191e-13,AGER/B2M/CCL21/CD27/CD274/CD300A/CD4/CD74/CD80/CD83/CEACAM6/CXCL13/EPO/FGA/FGL1/FSTL3/HAVCR2/HLA-E/IL12RB1/IL15/IL18/IL1RN/IL2RA/IL6/LGALS3/LGALS9/LILRB4/MAD1L1/PLAUR/SCGB1A1/SELE/SFTPD/TFRC/THY1/TNF/TNFSF13B/VCAM1/VSIG4,38
GO:0050670,GO:0050670,regulation of lymphocyte proliferation,27/324,230/18800,3.8644881803261e-15,1.1250491214974398e-12,7.59931261249652e-13,AGER/CD274/CD300A/CD38/CD74/CD80/EPO/HAVCR2/HLA-E/IL12RB1/IL15/IL18/IL2RA/IL6/LGALS3/LGALS9/LILRB4/MAD1L1/MZB1/SCGB1A1/SFTPD/TFRC/TNFRSF1B/TNFRSF4/TNFSF13B/VCAM1/VSIG4,27
