Unnamed: 0,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:1903531,GO:1903531,negative regulation of secretion by cell,6/39,143/18800,4.62517303759553e-07,0.0004826071276349,0.0002909911851636,CCN3/CHGA/FGF23/LGALS9/TNFRSF1A/TNFRSF1B,6
GO:0042742,GO:0042742,defense response to bacterium,8/39,364/18800,6.66124399772192e-07,0.0004826071276349,0.0002909911851636,CHGA/COLEC12/EPHA2/HAVCR2/RNASE6/SPON2/TNFRSF1A/WFDC2,8
GO:0002274,GO:0002274,myeloid leukocyte activation,6/39,232/18800,7.6828465374486e-06,0.0027831111581907,0.0016780954279164,CHGA/CSF1/HAVCR2/LGALS9/LTBR/VSIG4,6
GO:0002519,GO:0002519,natural killer cell tolerance induction,2/39,3/18800,1.25633832240503e-05,0.0036408684583297,0.0021952859107287,HAVCR2/LGALS9,2
GO:0031348,GO:0031348,negative regulation of defense response,6/39,268/18800,1.74423500824067e-05,0.0042123275449012,0.0025398509769118,CCN3/HAVCR2/LGALS9/TNFRSF1A/TNFRSF1B/VSIG4,6
GO:0032102,GO:0032102,negative regulation of response to external stimulus,7/39,429/18800,2.50980290792754e-05,0.0045458805169837,0.0027409689652366,CCN3/HAVCR2/LGALS9/PROS1/TNFRSF1A/TNFRSF1B/VSIG4,7
GO:1902339,GO:1902339,positive regulation of apoptotic process involved in morphogenesis,2/39,5/18800,4.17681324983498e-05,0.0064818220636948,0.0039082578278062,TNFRSF1A/TNFRSF1B,2
GO:0008630,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,4/39,101/18800,5.58580710668401e-05,0.0064818220636948,0.0039082578278062,EPHA2/SHISA5/TNFRSF1A/TNFRSF1B,4
GO:0003176,GO:0003176,aortic valve development,3/39,37/18800,6.10745733066481e-05,0.0064818220636948,0.0039082578278062,ELN/TNFRSF1A/TNFRSF1B,3
GO:1904747,GO:1904747,positive regulation of apoptotic process involved in development,2/39,6/18800,6.25700174528273e-05,0.0064818220636948,0.0039082578278062,TNFRSF1A/TNFRSF1B,2
GO:2001188,GO:2001188,regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,2/39,6/18800,6.25700174528273e-05,0.0064818220636948,0.0039082578278062,HAVCR2/LGALS9,2
GO:0032944,GO:0032944,regulation of mononuclear cell proliferation,5/39,233/18800,0.0001143669201186,0.0103573542032419,0.0062450357696348,CSF1/HAVCR2/LGALS9/TNFRSF1B/VSIG4,5
GO:0002448,GO:0002448,mast cell mediated immunity,3/39,52/18800,0.0001700155061567,0.0135284010239831,0.0081570395916646,CHGA/LGALS9/SPON2,3
GO:0002291,GO:0002291,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,2/39,10/18800,0.0001867274123393,0.0135284010239831,0.0081570395916646,HAVCR2/LGALS9,2
