Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
TAX1BP1,Tax1-binding protein 1,Lifestyle factors,X1050.Time spend outdoors in summer,45585,0.0598132473599798,0.0195372612726429,0.0215202152655997,0.0981062794543598,0.00220502863301614
TAX1BP1,Tax1-binding protein 1,Lifestyle factors,X1060.Time spent outdoors in winter,42341,0.027688160051667,0.022326236363228,-0.0160712632202599,0.071447583323594,0.214931058984975
TAX1BP1,Tax1-binding protein 1,Physical activities,X1070.Time spent watching television (TV),46647,0.0516211160058083,0.0193449583722005,0.0137049975962953,0.0895372344153212,0.00762553333947563
TAX1BP1,Tax1-binding protein 1,Physical activities,X1080.Time spent using computer,42329,-0.0146980378258123,0.0209298932218315,-0.0557206285406021,0.0263245528889774,0.48253151427991
TAX1BP1,Tax1-binding protein 1,Physical activities,X1090.Time spent driving,41359,0.0177871668809448,0.0218055244961568,-0.0249516611315226,0.0605259948934122,0.414672333832757
TAX1BP1,Tax1-binding protein 1,Lifestyle factors,X1160.Sleep duration,48186,-0.00779788810033618,0.0182112988999734,-0.0434920339442839,0.0278962577436116,0.668516906083237
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32694,-0.00058251691557107,0.0230690226581406,-0.0457978013255267,0.0446327674943845,0.979855292709327
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32694,0.0136597980008461,0.0226825717993126,-0.0307980427258066,0.0581176387274987,0.547046106256108
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32694,-0.0146146943896492,0.0264411258543742,-0.0664393010642225,0.0372099122849242,0.580465118462611
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32694,0.00059165952820966,0.0273558170786679,-0.0530257419459793,0.0542090610023987,0.982744955611434
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32694,0.0370211235129036,0.0279656590450331,-0.0177915682153613,0.0918338152411685,0.185601543790256
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32694,-0.0930906121508826,0.0533750681430197,-0.197705745711201,0.011524521409436,0.081179192716822
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32694,0.00755617987147494,0.0543542594460242,-0.0989781686427326,0.114090528385682,0.889439683856096
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32694,0.00519184224910957,0.0391432244510644,-0.0715288776749766,0.0819125621731957,0.89448344181258
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32694,-0.00701982457359315,0.0293202350353781,-0.0644874852429341,0.0504478360957478,0.810786167668384
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32694,0.0261744939867023,0.0205925133260274,-0.0141868321323114,0.066535820105716,0.20373776608222
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#18.Location of pain during the past week_Upper back,32694,0.0705262327655899,0.0289757887884599,0.0137336867402086,0.127318778790971,0.0149538697137907
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#19.Location of pain during the past week_Lower back,32694,-0.0134269577806677,0.0166949416228144,-0.0461490433613839,0.0192951278000486,0.42127248639019
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,32694,-0.00653673317380275,0.0213779229123274,-0.0484374620819645,0.035363995734359,0.759786774058168
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,32694,0.042537939627506,0.0323260836754365,-0.0208211843763495,0.105897063631361,0.188241275742137
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,32694,0.0366299447602285,0.0300942839909401,-0.022354851862014,0.095614741382471,0.223570980119028
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,32694,0.00540334413212217,0.0369666391813426,-0.0670512686633093,0.0778579569275537,0.883792007316303
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,32694,-0.0184921540708315,0.0358612102750096,-0.0887801262098504,0.0517958180681874,0.606105533686354
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#7.Location of pain during the past week_Left hip,32694,-0.034849187024476,0.0237156050543795,-0.0813317729310597,0.0116333988821078,0.141743056280916
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#8.Location of pain during the past week_Right hip,32694,0.00956794444570458,0.0224208246691464,-0.0343768719058223,0.0535127607972315,0.669576456405902
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,32694,-0.00738852403144228,0.02769817139145,-0.0616769399586843,0.0468998918957997,0.78966685666708
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120040.Fatigue severity over the past week,32704,0.062343973045759,0.0306863292291592,0.00219876775660706,0.122489178334911,0.0422186380147696
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120041.Waking unrefreshed severity over the past week,32705,0.0486232880697891,0.0301763363340283,-0.0105223311449063,0.107768907284485,0.107148903429412
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120042.Cognitive symptoms severity over the past week,32703,0.0343024320162675,0.0330252080736047,-0.0304269758079978,0.0990318398405328,0.298984683157748
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120098.Mobility problems today,32707,-0.0133700909599216,0.0370707285283832,-0.0860287188755528,0.0592885369557095,0.718358976544609
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120099.Self-care problems today,32707,-0.085387890544093,0.0580535706653319,-0.199172889048143,0.0283971079599576,0.141368213785813
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120100.Problems doing usual activities,32707,0.0203956712339485,0.0349624739200106,-0.0481307776492723,0.0889221201171693,0.559666577464159
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120101.Pain or discomfort today,32707,0.00530720850599085,0.0304932127496711,-0.0544594884833646,0.0650739054953463,0.861833634863809
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120102.Anxiety or depression today,32707,0.0471276533562234,0.035925036175596,-0.0232854175479448,0.117540724260392,0.189610487593417
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120103.Scale to indicate how health is today,32674,-0.00437077836068775,0.00717971582540323,-0.0184430213784781,0.00970146465710258,0.542694181918908
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,32690,-0.0170107396853863,0.0365330154333657,-0.0886154499347831,0.0545939705640105,0.641494366056129
TAX1BP1,Tax1-binding protein 1,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",32676,0.0345199595207441,0.0368982527974242,-0.0378006159622072,0.106840535003695,0.349533363345994
TAX1BP1,Tax1-binding protein 1,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",32698,0.0352804933066091,0.0302303648243132,-0.0239710217490447,0.094532008362263,0.243219721301261
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,32699,0.0516777635168488,0.030829085297824,-0.00874724366688627,0.112102770700584,0.0937213726052873
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,32693,0.00457534998704016,0.0376725494603705,-0.069262846955286,0.0784135469293664,0.903336982511612
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120109.Feeling bad about self over the last two weeks,32672,0.0414670088178836,0.038467985164426,-0.0339302421043913,0.116864259740158,0.281080430438953
TAX1BP1,Tax1-binding protein 1,Health and medical history,X120110.Trouble concentrating over the last two weeks,32700,0.00514202169613929,0.0389052408275482,-0.0711122503258552,0.0813962937181338,0.894854545511495
