Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.0,0,0.0,610,Adipose Tissue
Adrenal Gland,0.0,0,0.0,159,Adrenal Gland
Artery,0.0,2,1.43632270168856,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.0,5,1.15889989585099,1401,Brain
Breast,0.0,0,0.0,215,Breast
Cervix Uteri,0.0,0,0.0,11,Cervix Uteri
Colon,0.335760448309235,2,4.28261356008055,377,Colon
Esophagus,0.0,1,0.791194708557255,790,Esophagus
Fallopian Tube,0.0,1,1.44075579644685,7,Fallopian Tube
Heart,0.0,0,0.0,486,Heart
Kidney,0.0,2,1.84507856936277,36,Kidney
Liver,0.0,0,0.0,141,Liver
Lung,0.793452932311048,5,3.72847346684329,374,Lung
Muscle,0.0,1,0.864453477868112,469,Muscle
Nerve,0.0,1,1.40603878930356,331,Nerve
Ovary,0.377439199335937,3,3.84729295095149,110,Ovary
Pancreas,0.0,0,0.0,199,Pancreas
Pituitary,0.0,0,0.0,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.0234271826429692,2,2.3224123286009,71,Salivary Gland
Skin,0.0,2,1.20001253997116,659,Skin
Small Intestine,0.0234271826429692,2,2.21234539359612,103,Small Intestine
Spleen,9.08997232331626,17,7.99968036978757,118,Spleen
Stomach,0.0,0,0.0,206,Stomach
Testis,0.0,1,0.316692590263759,203,Testis
Thyroid,0.0,1,1.4497045902136,360,Thyroid
Uterus,0.0,0,0.0,93,Uterus
Vagina,0.335760448309235,2,4.6680487804878,95,Vagina
