Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.0,1,0.99212067803639,610,Adipose Tissue
Adrenal Gland,0.0,0,0.0,159,Adrenal Gland
Artery,0.0499439336510447,3,1.74918507235339,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.0,2,0.376355609741709,1401,Brain
Breast,0.0,1,0.450107005950001,215,Breast
Cervix Uteri,0.0,1,0.845960042432815,11,Cervix Uteri
Colon,0.0,1,1.73848669270597,377,Colon
Esophagus,0.0,2,1.28471220003356,790,Esophagus
Fallopian Tube,0.0,0,0.0,7,Fallopian Tube
Heart,0.0,1,0.446922286568279,486,Heart
Kidney,0.063055748474169,3,2.2469768716002,36,Kidney
Liver,0.0,2,1.23449543651434,141,Liver
Lung,1.7066127280287,7,4.23790845538228,374,Lung
Muscle,0.0,1,0.701833516685002,469,Muscle
Nerve,0.0,1,1.14153644280091,331,Nerve
Ovary,0.0,1,1.04118159068654,110,Ovary
Pancreas,0.0,1,0.947475247524752,199,Pancreas
Pituitary,0.0,2,1.29791129797911,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.0,1,0.942761440323137,71,Salivary Gland
Skin,0.0,2,0.974267606709257,659,Skin
Small Intestine,0.0,1,0.898080803340998,103,Small Intestine
Spleen,3.46445520274833,12,4.58455764931332,118,Spleen
Stomach,0.063055748474169,2,2.57816393884286,206,Stomach
Testis,0.0,1,0.257116756451765,203,Testis
Thyroid,0.063055748474169,2,2.35397577024783,360,Thyroid
Uterus,0.063055748474169,1,5.74227422742274,93,Uterus
Vagina,0.063055748474169,2,3.78990099009901,95,Vagina
