Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.219036872313244,2,2.35774561133354,610,Adipose Tissue
Adrenal Gland,0.0,0,0.0,159,Adrenal Gland
Artery,0.0,0,0.0,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.0,4,0.894398037268532,1401,Brain
Breast,0.0,1,0.534833030599413,215,Breast
Cervix Uteri,0.0,1,1.00519957983193,11,Cervix Uteri
Colon,0.852753529208129,3,6.19719373988127,377,Colon
Esophagus,0.0730704388717826,2,1.52654037886341,790,Esophagus
Fallopian Tube,0.0,0,0.0,7,Fallopian Tube
Heart,0.0,1,0.531048834628191,486,Heart
Kidney,0.0876375508690329,2,1.77995814926761,36,Kidney
Liver,0.852753529208129,5,3.66717762023376,141,Liver
Lung,0.456278983746052,4,2.87750422852847,374,Lung
Muscle,0.0,1,0.833943355119826,469,Muscle
Nerve,0.0,1,1.35641389085755,331,Nerve
Ovary,0.0,0,0.0,110,Ovary
Pancreas,0.0,0,0.0,199,Pancreas
Pituitary,0.344058052089469,3,2.31333601933924,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.456278983746052,3,3.36066725197542,71,Salivary Gland
Skin,0.0,2,1.15765915620747,659,Skin
Small Intestine,0.852753529208129,4,4.26852522999721,103,Small Intestine
Spleen,0.0730704388717826,3,1.36188330170778,118,Spleen
Stomach,0.344058052089469,2,3.06346538615446,206,Stomach
Testis,0.0,0,0.0,203,Testis
Thyroid,0.0,0,0.0,360,Thyroid
Uterus,0.344058052089469,1,6.82317290552585,93,Uterus
Vagina,0.452518618910565,2,4.50329411764706,95,Vagina
