Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.0547710715459727,1,1.59054267431231,610,Adipose Tissue
Adrenal Gland,0.0,1,0.797358663500396,159,Adrenal Gland
Artery,0.116379973713665,2,1.86949938949939,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.0,2,0.6033637553002,1401,Brain
Breast,0.0,1,0.721600120650002,215,Breast
Cervix Uteri,0.0,0,0.0,11,Cervix Uteri
Colon,0.529646698411713,2,5.57419542740644,377,Colon
Esophagus,0.116379973713665,2,2.05961797148238,790,Esophagus
Fallopian Tube,0.0547710715459727,1,1.87526944934352,7,Fallopian Tube
Heart,0.529646698411713,4,2.86597783767595,486,Heart
Kidney,0.134213673003833,2,2.40153083631344,36,Kidney
Liver,0.410228244757823,3,2.96866759733209,141,Liver
Lung,4.92832643351091,9,8.73528069374715,374,Lung
Muscle,0.0,1,1.12516166960611,469,Muscle
Nerve,0.0,0,0.0,331,Nerve
Ovary,1.53122587803067,4,6.67678353392639,110,Ovary
Pancreas,0.0547710715459727,1,1.51896825396825,199,Pancreas
Pituitary,0.0,1,1.04038921504675,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.0547710715459727,1,1.51141119797836,71,Salivary Gland
Skin,0.0,0,0.0,659,Skin
Small Intestine,0.197619838420851,2,2.87956067102987,103,Small Intestine
Spleen,4.92832643351091,11,6.73735919098822,118,Spleen
Stomach,0.0,0,0.0,206,Stomach
Testis,0.0,0,0.0,203,Testis
Thyroid,0.0547710715459727,1,1.88691708567485,360,Thyroid
Uterus,0.0,0,0.0,93,Uterus
Vagina,0.116379973713665,1,3.03793650793651,95,Vagina
