Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.0045996973139562,1,1.22200229855702,610,Adipose Tissue
Adrenal Gland,0.0124024129855,2,1.22520965367134,159,Adrenal Gland
Artery,0.22826892074804,3,2.15448405253283,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.0,3,0.695339937510597,1401,Brain
Breast,0.0,1,0.554400092694514,215,Breast
Cervix Uteri,0.0,0,0.0,11,Cervix Uteri
Colon,0.238850435301179,2,4.28261356008055,377,Colon
Esophagus,0.22826892074804,3,2.37358412567177,790,Esophagus
Fallopian Tube,0.0124024129855,1,1.44075579644685,7,Fallopian Tube
Heart,0.22826892074804,4,2.20190980211689,486,Heart
Kidney,0.0729582180494652,2,1.84507856936277,36,Kidney
Liver,0.22826892074804,3,2.28080559307222,141,Liver
Lung,5.86705922590384,11,8.20264162705525,374,Lung
Muscle,0.0729582180494652,2,1.72890695573622,469,Muscle
Nerve,0.0,0,0.0,331,Nerve
Ovary,1.96880445402543,5,6.41215491825248,110,Ovary
Pancreas,0.0,0,0.0,199,Pancreas
Pituitary,0.0,1,0.799323421316405,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.0045996973139562,1,1.16120616430045,71,Salivary Gland
Skin,0.0,1,0.600006269985579,659,Skin
Small Intestine,0.132571652068037,2,2.21234539359612,103,Small Intestine
Spleen,7.11919000604059,15,7.05854150275374,118,Spleen
Stomach,0.0,0,0.0,206,Stomach
Testis,0.0,1,0.316692590263759,203,Testis
Thyroid,0.0124024129855,1,1.4497045902136,360,Thyroid
Uterus,0.0,0,0.0,93,Uterus
Vagina,0.0729582180494652,1,2.3340243902439,95,Vagina
