Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.0,1,0.770801449859042,610,Adipose Tissue
Adrenal Gland,0.0,1,0.386412275388653,159,Adrenal Gland
Artery,0.03705332264676,3,1.35898224852071,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.03705332264676,8,1.16959743335116,1401,Brain
Breast,0.0,0,0.0,215,Breast
Cervix Uteri,0.0,2,1.31449175824176,11,Cervix Uteri
Colon,0.55752826587309,3,4.05201129146083,377,Colon
Esophagus,0.03705332264676,3,1.49718383311604,790,Esophagus
Fallopian Tube,0.0,0,0.0,7,Fallopian Tube
Heart,0.0,1,0.347224238026125,486,Heart
Kidney,0.55752826587309,5,2.90954697476437,36,Kidney
Liver,0.121003691970279,4,1.91821598596843,141,Liver
Lung,2.07840731539556,9,4.23325141312362,374,Lung
Muscle,0.0,1,0.545270655270655,469,Muscle
Nerve,0.0,1,0.886886005560704,331,Nerve
Ovary,0.03705332264676,2,1.6178360101437,110,Ovary
Pancreas,0.0,1,0.736115384615385,199,Pancreas
Pituitary,0.0,2,1.00837723919916,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.0,1,0.732453119020283,71,Salivary Gland
Skin,0.0,2,0.756930986751038,659,Skin
Small Intestine,0.489169162221464,4,2.79095880422895,103,Small Intestine
Spleen,2.07840731539556,11,3.26502791563275,118,Spleen
Stomach,0.0,1,1.00151753008896,206,Stomach
Testis,0.0,3,0.599279824652959,203,Testis
Thyroid,0.03705332264676,2,1.82885809842332,360,Thyroid
Uterus,0.0782822854430946,1,4.46130536130536,93,Uterus
Vagina,0.0,1,1.47223076923077,95,Vagina
