Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.302716363718379,1,14.3148840688108,610,Adipose Tissue
Adrenal Gland,0.0,0,0.0,159,Adrenal Gland
Artery,0.0,0,0.0,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.0,1,2.7151368988509,1401,Brain
Breast,0.281717239608327,1,6.49440108585002,215,Breast
Cervix Uteri,0.0,0,0.0,11,Cervix Uteri
Colon,0.302716363718379,1,25.083879423329,377,Colon
Esophagus,0.302716363718379,1,9.2682808716707,790,Esophagus
Fallopian Tube,0.0,0,0.0,7,Fallopian Tube
Heart,0.0,0,0.0,486,Heart
Kidney,0.0,0,0.0,36,Kidney
Liver,0.0,0,0.0,141,Liver
Lung,0.0,0,0.0,374,Lung
Muscle,0.0,0,0.0,469,Muscle
Nerve,0.0,0,0.0,331,Nerve
Ovary,0.0,0,0.0,110,Ovary
Pancreas,0.302716363718379,1,13.6707142857143,199,Pancreas
Pituitary,0.302716363718379,1,9.36350293542074,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.0,0,0.0,71,Salivary Gland
Skin,0.281717239608327,1,7.02864487697392,659,Skin
Small Intestine,0.0,0,0.0,103,Small Intestine
Spleen,0.0,0,0.0,118,Spleen
Stomach,0.302716363718379,1,18.5996112730807,206,Stomach
Testis,0.0,0,0.0,203,Testis
Thyroid,0.0,0,0.0,360,Thyroid
Uterus,0.0,0,0.0,93,Uterus
Vagina,0.0,0,0.0,95,Vagina
