Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",ADGRG2,Adhesion G-protein coupled receptor G2,42343,108,0.31 [0.19-0.50],1.551333791677126e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",ADM,Pro-adrenomedullin,42705,110,4.53 [2.46-8.36],1.3167550579030978e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",AGRN,Agrin,42513,110,2.56 [1.77-3.70],6.361808406865182e-07
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",ALPP,"Alkaline phosphatase, placental type",42156,105,1.36 [1.20-1.55],2.392537917506533e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",AMBP,Protein AMBP,42644,108,6.24 [2.91-13.37],2.488481964619964e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",AREG,Amphiregulin,42156,105,2.18 [1.65-2.89],4.930890919732465e-08
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",ASGR1,Asialoglycoprotein receptor 1,42022,108,3.22 [2.04-5.08],4.682124051339956e-07
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",BTN2A1,Butyrophilin subfamily 2 member A1,42513,110,3.60 [2.14-6.05],1.4277681203927854e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CA4,Carbonic anhydrase 4,42853,110,4.73 [2.73-8.19],2.9646348009515778e-08
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CCER2,Coiled-coil domain-containing glutamate-rich protein 2,35933,96,2.17 [1.71-2.76],2.2373127764651317e-10
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CCL20,C-C motif chemokine 20,42796,110,1.41 [1.21-1.63],5.257656599730094e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CD14,Monocyte differentiation antigen CD14,41468,107,2.25 [1.59-3.18],5.118998791828407e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,36899,101,2.16 [1.67-2.80],4.909390236661376e-09
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CKAP4,Cytoskeleton-associated protein 4,42586,110,3.20 [2.13-4.83],2.636975027117449e-08
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CLEC4D,C-type lectin domain family 4 member D,42274,108,1.78 [1.39-2.26],3.368241567796758e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",COL18A1,Collagen alpha-1(XVIII) chain,42501,109,4.70 [2.43-9.12],4.584024174412664e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",COL6A3,Collagen alpha-3(VI) chain,42853,110,2.73 [1.88-3.95],1.1589521027014029e-07
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CPM,Carboxypeptidase M,42518,110,3.01 [1.96-4.63],4.92235049931763e-07
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CRHBP,Corticotropin-releasing factor-binding protein,42309,110,4.01 [2.24-7.19],3.194603141949781e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CSF1,Macrophage colony-stimulating factor 1,42513,110,3.42 [2.02-5.80],4.9482640749465056e-06
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CST3,Cystatin-C,42431,109,3.25 [2.04-5.19],7.669941197855145e-07
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",CXCL17,C-X-C motif chemokine 17,42796,110,2.08 [1.62-2.68],1.2451133211408016e-08
Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",DLL1,Delta-like protein 1,42466,108,3.17 [1.94-5.18],4.323742639480831e-06
