Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,DVT of lower extremities,ACTA2,"Actin, aortic smooth muscle",26586,94,1.93 [1.53-2.44],3.39944541649333e-08
Chapter IX Diseases of the circulatory system,DVT of lower extremities,ACVRL1,Serine/threonine-protein kinase receptor R3,26827,94,6.27 [3.57-11.00],1.6408897388833267e-10
Chapter IX Diseases of the circulatory system,DVT of lower extremities,AGRN,Agrin,27176,99,3.39 [2.40-4.79],4.1835296614208494e-12
Chapter IX Diseases of the circulatory system,DVT of lower extremities,BGLAP,Osteocalcin,23520,88,2.35 [1.86-2.97],6.138937288649284e-13
Chapter IX Diseases of the circulatory system,DVT of lower extremities,BTN2A1,Butyrophilin subfamily 2 member A1,27176,99,5.97 [3.67-9.73],6.511327567150637e-13
Chapter IX Diseases of the circulatory system,DVT of lower extremities,BTN3A2,Butyrophilin subfamily 3 member A2,27043,96,2.76 [1.94-3.91],1.3705295694381832e-08
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CA4,Carbonic anhydrase 4,27398,98,4.64 [2.64-8.14],9.065256079126946e-08
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CCL14,C-C motif chemokine 14,26960,96,2.15 [1.66-2.79],5.8130286364066206e-09
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CD14,Monocyte differentiation antigen CD14,26466,94,2.75 [1.93-3.92],2.0343564322783577e-08
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CD27,CD27 antigen,27119,97,2.79 [1.96-3.95],8.965496722355025e-09
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CD300E,CMRF35-like molecule 2,27215,97,3.14 [2.19-4.50],4.354779412585833e-10
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CD302,CD302 antigen,26941,96,3.78 [2.48-5.76],6.683975316021233e-10
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CD46,Membrane cofactor protein,26869,95,3.22 [2.17-4.78],7.272907838769356e-09
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CD59,CD59 glycoprotein,26031,93,5.12 [3.23-8.10],3.3491386793919385e-12
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CD99,CD99 antigen,27053,97,7.61 [3.87-14.96],4.205420818940434e-09
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CHRDL1,Chordin-like protein 1,27135,99,5.08 [3.12-8.27],5.925084830994892e-11
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CKAP4,Cytoskeleton-associated protein 4,27236,97,4.22 [2.71-6.58],1.9744538792898536e-10
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CLEC14A,C-type lectin domain family 14 member A,27053,97,4.47 [2.75-7.29],1.7249121387535722e-09
Chapter IX Diseases of the circulatory system,DVT of lower extremities,CLEC1A,C-type lectin domain family 1 member A,26586,94,3.89 [2.46-6.16],5.821877755039958e-09
