Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ACRV1,Acrosomal protein SP-10,23561,142,0.52 [0.41-0.66],4.555532274432272e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ACVRL1,Serine/threonine-protein kinase receptor R3,27697,150,6.41 [4.09-10.05],5.685635252773911e-16
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ADA2,Adenosine deaminase 2,27743,149,3.11 [2.32-4.16],2.4452858399639262e-14
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,24159,146,3.04 [2.08-4.42],7.714369001410691e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,28271,151,0.21 [0.12-0.37],4.95041168301006e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ADIPOQ,Adiponectin,24286,146,2.86 [2.32-3.53],7.299765488308431e-23
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ADM,Pro-adrenomedullin,28182,156,9.62 [5.96-15.53],1.835188726995725e-20
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,AGRN,Agrin,28050,154,2.62 [1.89-3.62],6.934671509996842e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ANGPT2,Angiopoietin-2,28182,156,2.44 [1.79-3.34],2.1365324208256196e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ANGPTL1,Angiopoietin-related protein 1,27509,142,3.63 [2.27-5.81],7.475973653812855e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ANGPTL3,Angiopoietin-related protein 3,27928,149,3.32 [2.28-4.82],3.047466651985389e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ANXA10,Annexin A10,27269,143,1.54 [1.34-1.78],2.1555686576930992e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,APOA2,Apolipoprotein A-II,24276,147,3.25 [2.44-4.33],6.19299464484214e-16
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,AREG,Amphiregulin,27810,151,2.10 [1.71-2.58],1.1999933562469485e-12
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ASGR2,Asialoglycoprotein receptor 2,24276,147,5.91 [3.50-9.98],2.9990538706218016e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,ATRAID,All-trans retinoic acid-induced differentiation factor,24159,146,1.87 [1.49-2.36],8.8862681590963e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,B2M,Beta-2-microglobulin,24286,146,2.10 [1.76-2.51],2.4045869982131004e-16
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,B4GALT1,"Beta-1,4-galactosyltransferase 1",28050,154,4.68 [3.09-7.11],3.770695372908526e-13
