Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ABCA2,ATP-binding cassette sub-family A member 2,15877,42,2.47 [1.48-4.15],0.000589188181274
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ABO,Histo-blood group ABO system transferase,16413,42,1.28 [1.04-1.56],0.0190348542228627
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ACE2,Angiotensin-converting enzyme 2,18457,42,2.31 [1.57-3.39],2.162421780909493e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ACSL1,Long-chain-fatty-acid--CoA ligase 1,15877,42,1.76 [1.12-2.77],0.0149872185441376
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ACVRL1,Serine/threonine-protein kinase receptor R3,18650,43,2.89 [1.02-8.18],0.0448773578830219
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,16319,42,4.96 [2.69-9.14],2.893151490273447e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ADAMTSL2,ADAMTS-like protein 2,16398,42,2.72 [1.25-5.90],0.0113000083518227
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ADAMTSL4,ADAMTS-like protein 4,15987,41,4.44 [1.29-15.26],0.0178748066374317
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ADGRE2,Adhesion G protein-coupled receptor E2,18892,44,2.50 [1.00-6.24],0.0487733985035342
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ADGRG2,Adhesion G-protein coupled receptor G2,18798,44,2.79 [1.02-7.67],0.0462273696094896
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ADH1B,All-trans-retinol dehydrogenase,16046,42,1.52 [1.10-2.09],0.0102806156053877
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,AGR2,Anterior gradient protein 2 homolog,18201,43,1.37 [1.07-1.75],0.0129009183701169
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,AGXT,Serine--pyruvate aminotransferase,18798,44,1.58 [1.18-2.11],0.002132046085896
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,AKR1B10,Aldo-keto reductase family 1 member B10,15927,41,1.81 [1.37-2.39],2.676902307051048e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ALCAM,CD166 antigen,19030,44,3.99 [1.09-14.61],0.0364759367683854
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",18732,42,1.48 [1.14-1.92],0.0035797694537278
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,AMBP,Protein AMBP,18941,43,6.75 [2.23-20.49],0.0007447208016467
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ANG,Angiogenin,18733,42,2.53 [1.33-4.81],0.0047744267190068
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ANGPT2,Angiopoietin-2,18964,43,2.28 [1.18-4.42],0.0141020891473144
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ANGPTL1,Angiopoietin-related protein 1,18566,44,2.94 [1.19-7.27],0.0193121956630497
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ANGPTL7,Angiopoietin-related protein 7,18964,43,2.62 [1.38-4.97],0.0030928533761024
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,ANKRA2,Ankyrin repeat family A protein 2,15814,42,1.46 [1.07-1.99],0.0179885000234585
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,APOA2,Apolipoprotein A-II,16413,42,2.25 [1.29-3.91],0.0040897337009476
