Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSME2,Proteasome activator complex subunit 2,50323,0.0188933901702958,0.00307054426205793,0.0128751234166623,0.0249116569239293,7.73455937329553e-10
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CAT,Catalase,47495,0.0277925441703113,0.00455056328393286,0.0188734401338028,0.0367116482068197,1.03250047268128e-09
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CXCL14,C-X-C motif chemokine 14,50202,-0.029126790835733,0.00488403979008579,-0.0386995088243012,-0.0195540728471649,2.50583687424949e-09
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,TGM2,Protein-glutamine gamma-glutamyltransferase 2,50585,0.0367572960691129,0.00640010134000423,0.0242130974427046,0.0493014946955212,9.41428164328157e-09
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,UBAC1,Ubiquitin-associated domain-containing protein 1,50510,0.0160687196033775,0.00291797259420762,0.0103494933187306,0.0217879458880244,3.69612687268336e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,SLC4A1,Band 3 anion transport protein,47762,0.0214750718532046,0.00395124863810819,0.0137306245225125,0.0292195191838966,5.54840068046136e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ATXN3,Ataxin-3,47713,0.0282332724679557,0.00520056348033002,0.0180401680465089,0.0384263768894025,5.74197062080037e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PRDX2,Peroxiredoxin-2,47417,0.0284557613975404,0.00526723441010863,0.0181319819537275,0.0387795408413533,6.65759340364033e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,NSFL1C,NSFL1 cofactor p47,50783,0.0296063203534064,0.0054949393821728,0.0188362391643478,0.0403764015424651,7.20219081149503e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,BOLA2_BOLA2B,BolA-like protein 2,47269,0.0240467982265583,0.00452429940375627,0.015179171395196,0.0329144250579206,1.07903716946011e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",50715,0.0321980958687106,0.00610791673043906,0.0202265790770501,0.0441696126603712,1.36592501748058e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PPME1,Protein phosphatase methylesterase 1,50510,0.0265008902476861,0.00509147874043093,0.0165215919164415,0.0364801885789307,1.95847985944437e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,50676,0.0225516601020941,0.00437227466890129,0.0139820017510476,0.0311213184531406,2.51981666438693e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DDI2,Protein DDI1 homolog 2,47334,0.0338483926040651,0.00656717563914869,0.0209767283513336,0.0467200568567965,2.5741870822507e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSME1,Proteasome activator complex subunit 1,50382,0.0161205667006552,0.00315389147587528,0.00993893940793968,0.0223021939933708,3.22686305668437e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSMG3,Proteasome assembly chaperone 3,50573,0.0221973159387934,0.00436996165163521,0.0136321911015884,0.0307624407759984,3.8156728804189e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CA2,Carbonic anhydrase 2,50555,0.0297226244227076,0.00592792455238718,0.0181038923000288,0.0413413565453865,5.3736085503262e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PDCD5,Programmed cell death protein 5,50783,0.0242630562909803,0.0048744401870764,0.0147091535243106,0.0338169590576501,6.48701283266068e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ARG1,Arginase-1,50458,0.0219302028446591,0.00442854254676527,0.0132502594529992,0.0306101462363191,7.40121927115833e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,AK1,Adenylate kinase isoenzyme 1,50612,0.0265842905820333,0.0053841397144226,0.016031376741765,0.0371372044223016,7.97178460631601e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,TXN,Thioredoxin,47440,0.0181347934017891,0.00371739205794678,0.0108487049682134,0.0254208818353648,1.07870893973924e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PKLR,Pyruvate kinase PKLR,50642,0.0271927163949843,0.00558679510781587,0.0162425979836652,0.0381428348063034,1.13925913326707e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,50612,0.0263640855271071,0.00543249083136896,0.015716403497624,0.0370117675565903,1.22439650643015e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,LXN,Latexin,50334,0.0272906795501914,0.00574401761082431,0.0160324050329758,0.0385489540674071,2.03593208957809e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSMG4,Proteasome assembly chaperone 4,47187,0.0229767706792319,0.00484013972070642,0.0134900968266474,0.0324634445318165,2.07911437392472e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DNAJC9,DnaJ homolog subfamily C member 9,47653,0.0302591775182193,0.00638139723533355,0.0177516389369655,0.0427667160994731,2.13431368822276e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,RILP,Rab-interacting lysosomal protein,50715,0.0236945474210161,0.00503191563965618,0.01383199276729,0.0335571020747423,2.50668302878344e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,GLRX,Glutaredoxin-1,50477,0.0227050933303443,0.0048230415666978,0.0132519318596166,0.032158254801072,2.52191974926841e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,50635,0.0233702666258899,0.00501890954673069,0.0135332039142977,0.033207329337482,3.23647157944823e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,RBKS,Ribokinase,50106,0.0199151081690746,0.00428333310330113,0.0115197752866044,0.0283104410515449,3.34867883040367e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,AARSD1,Alanyl-tRNA editing protein Aarsd1,50510,0.0215908336769797,0.00468605719024913,0.0124061615840914,0.030775505769868,4.09971513344531e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ANKRD54,Ankyrin repeat domain-containing protein 54,50130,0.021845142066055,0.00488353433133253,0.0122734147766433,0.0314168693554668,7.74544144631473e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,IMPACT,Protein IMPACT,47713,0.0207386497108613,0.00466164841471474,0.0116018188180204,0.0298754806037022,8.68623835932488e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,RANBP1,Ran-specific GTPase-activating protein,47269,0.0196302075245847,0.00441638561184934,0.01097409172536,0.0282863233238094,8.84730875049002e-06
