Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20691.Liking for milk chocolate,CDHR5,Cadherin-related family member 5,36244,0.345491447515703,0.0485483230791971,0.250336734280476,0.440646160750929,1.21684389324975e-12
Diet and food preferences,X20691.Liking for milk chocolate,CSF1,Macrophage colony-stimulating factor 1,36293,0.519330782143642,0.0735370773278939,0.37519811058097,0.663463453706314,1.79508314074026e-12
Diet and food preferences,X20691.Liking for milk chocolate,BGLAP,Osteocalcin,35366,0.164878777371822,0.0253736577882683,0.115146408106816,0.214611146636828,8.77497657724708e-11
Diet and food preferences,X20691.Liking for milk chocolate,PCDH9,Protocadherin-9,35325,0.416801285561921,0.0682937427150394,0.282945549840444,0.550657021283399,1.10423009694986e-09
Diet and food preferences,X20691.Liking for milk chocolate,GPC1,Glypican-1,36318,0.385279701440852,0.0651485076744585,0.257588626398913,0.512970776482791,3.49637172251262e-09
Diet and food preferences,X20691.Liking for milk chocolate,EPHA1,Ephrin type-A receptor 1,36284,0.347565457845312,0.0591758118778949,0.231580866564638,0.463550049125986,4.46175126123523e-09
Diet and food preferences,X20691.Liking for milk chocolate,VWC2,Brorin,36161,0.293185973045404,0.0499796257568915,0.195225906561896,0.391146039528911,4.66600196789242e-09
Diet and food preferences,X20691.Liking for milk chocolate,SEMA3F,Semaphorin-3F,36244,0.424176932056549,0.0745298949075198,0.27809833803781,0.570255526075288,1.31092254441937e-08
Diet and food preferences,X20691.Liking for milk chocolate,KITLG,Kit ligand,36244,0.301853450397139,0.0539758271090186,0.196060829263463,0.407646071530816,2.32374369337196e-08
Diet and food preferences,X20691.Liking for milk chocolate,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,36314,0.287100928506628,0.0518209019021603,0.185531960778394,0.388669896234862,3.12840689402931e-08
Diet and food preferences,X20691.Liking for milk chocolate,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,36318,0.347057319744593,0.0631876656761579,0.223209495019323,0.470905144469862,4.10012904670631e-08
Diet and food preferences,X20691.Liking for milk chocolate,CNDP1,Beta-Ala-His dipeptidase,36292,-0.234003737012957,0.0433110310454412,-0.318893357862021,-0.149114116163892,6.77164340950354e-08
Diet and food preferences,X20691.Liking for milk chocolate,RGMB,RGM domain family member B,36329,0.386304225524959,0.0718120534898713,0.245552600684812,0.527055850365107,7.7119649903531e-08
Diet and food preferences,X20691.Liking for milk chocolate,TGFBR2,TGF-beta receptor type-2,36292,0.328508444036334,0.0615182513458506,0.207932671398466,0.449084216674201,9.5824313189572e-08
Diet and food preferences,X20691.Liking for milk chocolate,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,36329,0.225858851474536,0.0423387569756703,0.142874887802222,0.30884281514685,9.87203592617082e-08
Diet and food preferences,X20691.Liking for milk chocolate,IL19,Interleukin-19,36075,0.150581605109483,0.0283273073612343,0.0950600826814641,0.206103127537503,1.0954713104809e-07
Diet and food preferences,X20691.Liking for milk chocolate,RETN,Resistin,36244,0.238433501630467,0.0452179082515119,0.149806401457504,0.327060601803431,1.38213770183362e-07
Diet and food preferences,X20691.Liking for milk chocolate,GFRA1,GDNF family receptor alpha-1,36310,0.375138403523192,0.0711993240644561,0.235587728356858,0.514689078689526,1.4131666414244e-07
Diet and food preferences,X20691.Liking for milk chocolate,RELT,Tumor necrosis factor receptor superfamily member 19L,36265,0.365480464699674,0.0699547216466995,0.228369210272143,0.502591719127205,1.79594506590706e-07
Diet and food preferences,X20691.Liking for milk chocolate,NME3,Nucleoside diphosphate kinase 3,36273,0.434065955042521,0.0838207640846326,0.269777257436641,0.598354652648401,2.29849858890127e-07
Diet and food preferences,X20691.Liking for milk chocolate,CD79B,B-cell antigen receptor complex-associated protein beta chain,36327,0.213391959842151,0.0416106134997041,0.131835157382731,0.294948762301571,3.00070512989664e-07
Diet and food preferences,X20691.Liking for milk chocolate,RSPO1,R-spondin-1,36181,0.294879441151845,0.0575595494121905,0.182062724303951,0.407696157999738,3.08724179357478e-07
Diet and food preferences,X20691.Liking for milk chocolate,PTGDS,Prostaglandin-H2 D-isomerase,36202,0.33292284040198,0.0652900807535328,0.204954282125055,0.460891398678904,3.50170085319527e-07
Diet and food preferences,X20691.Liking for milk chocolate,CANT1,Soluble calcium-activated nucleotidase 1,36213,0.484158132499722,0.0950792666591073,0.297802769847872,0.670513495151572,3.63251376551537e-07
Diet and food preferences,X20691.Liking for milk chocolate,INHBC,Inhibin beta C chain,36265,0.237987463925969,0.046968563387664,0.145929079686147,0.33004584816579,4.14496333845842e-07
Diet and food preferences,X20691.Liking for milk chocolate,THBD,Thrombomodulin,36244,0.335227665555327,0.066364082774161,0.205154063317972,0.465301267792683,4.49752819948614e-07
