Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CXCL14,C-X-C motif chemokine 14,51632,-0.0314514223330416,0.00493252041523055,-0.0411191623468935,-0.0217836823191897,1.84904127469956e-10
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,SLC4A1,Band 3 anion transport protein,49107,0.0217684985437049,0.00400122516852829,0.0139260972133894,0.0296108998740203,5.37702344827333e-08
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PSME2,Proteasome activator complex subunit 2,51756,0.016087168554648,0.00309978867803231,0.0100115827457047,0.0221627543635913,2.12384746948355e-07
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CAT,Catalase,48820,0.0226592304570169,0.0046245237460861,0.0135951639146882,0.0317232969993457,9.66999765692739e-07
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PRDX2,Peroxiredoxin-2,48747,0.0255802530966086,0.0053573834612907,0.0150797815124788,0.0360807246807384,1.8121876615548e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ATXN3,Ataxin-3,49056,0.0248004705704028,0.00524403285378504,0.0145221661769841,0.0350787749638214,2.26871305010793e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,BOLA2_BOLA2B,BolA-like protein 2,48589,0.021475421965637,0.00456384209440162,0.0125302914606098,0.0304205524706642,2.5491978063674e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CENPF,Centromere protein F,48735,0.0209872678236917,0.00465485241575303,0.0118637570888158,0.0301107785585677,6.56094082340383e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GLRX,Glutaredoxin-1,51918,0.0211808796455367,0.0048699007432051,0.0116358741888547,0.0307258851022187,1.37138913595379e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DNAJC9,DnaJ homolog subfamily C member 9,48996,0.027931561078296,0.0064306349244808,0.0153275166263137,0.0405356055302784,1.40917674512318e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PSMG4,Proteasome assembly chaperone 4,48506,0.0211112385167045,0.00491140304864302,0.0114848885413641,0.0307375884920448,1.72867929972114e-05
