Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20666.Liking for globe artichoke,BGLAP,Osteocalcin,35366,-0.222100667879015,0.0256885399787953,-0.272450206237454,-0.171751129520576,6.72415516753417e-18
Diet and food preferences,X20666.Liking for globe artichoke,CSF1,Macrophage colony-stimulating factor 1,36293,-0.627385779816941,0.0744549582235232,-0.773317497935047,-0.481454061698836,4.27494082052364e-17
Diet and food preferences,X20666.Liking for globe artichoke,VWC2,Brorin,36161,-0.410151795304031,0.0507283371545449,-0.509579336126939,-0.310724254481123,7.25936926204228e-16
Diet and food preferences,X20666.Liking for globe artichoke,C4BPB,C4b-binding protein beta chain,36292,-0.387472501588725,0.0491291612039962,-0.483765657548558,-0.291179345628892,3.56583254403595e-15
Diet and food preferences,X20666.Liking for globe artichoke,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,36314,-0.416880226956101,0.053017058005433,-0.520793660646749,-0.312966793265452,4.30043831554178e-15
Diet and food preferences,X20666.Liking for globe artichoke,PTGDS,Prostaglandin-H2 D-isomerase,36202,-0.499574915137521,0.0666957236815563,-0.630298533553372,-0.368851296721671,7.71182265633429e-14
Diet and food preferences,X20666.Liking for globe artichoke,LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1,36300,-0.417893775152238,0.055978270100827,-0.527611184549859,-0.308176365754617,9.30366894955028e-14
Diet and food preferences,X20666.Liking for globe artichoke,GFRA1,GDNF family receptor alpha-1,36310,-0.533181221688948,0.0722020219883261,-0.674697184786067,-0.391665258591829,1.70361143731786e-13
Diet and food preferences,X20666.Liking for globe artichoke,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,36284,-0.435043436388464,0.0633387235748557,-0.559187334595181,-0.310899538181747,7.03801037276012e-12
Diet and food preferences,X20666.Liking for globe artichoke,ADA2,Adenosine deaminase 2,36216,-0.320575727471883,0.0467225216669326,-0.412151869939071,-0.228999585004695,7.40822908241561e-12
Diet and food preferences,X20666.Liking for globe artichoke,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4,36292,-0.301716676715698,0.0442825886844798,-0.388510550537279,-0.214922802894118,1.03117059699395e-11
Diet and food preferences,X20666.Liking for globe artichoke,IL12B,Interleukin-12 subunit beta,36327,-0.241362399020915,0.0355082612401529,-0.310958591051615,-0.171766206990215,1.15174885161138e-11
Diet and food preferences,X20666.Liking for globe artichoke,IL12A_IL12B,Interleukin-12,36216,-0.170214076485043,0.0251377342833599,-0.219484035680429,-0.120944117289658,1.3800270322982e-11
Diet and food preferences,X20666.Liking for globe artichoke,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,36329,-0.278870277005864,0.0426978254214756,-0.362558014831956,-0.195182539179772,6.97094055509716e-11
