Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,CXCL17,C-X-C motif chemokine 17,Wald ratio,1,1.1 [1.05-1.15],0.000139224012783711,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,IGFBP7,Insulin-like growth factor-binding protein 7,Wald ratio,1,1.1 [1.05-1.16],0.000169543700464635,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,SFTPD,Pulmonary surfactant-associated protein D,Wald ratio,1,1.07 [1.03-1.12],0.000634920128580961,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,NPC2,NPC intracellular cholesterol transporter 2,Wald ratio,1,1.09 [1.04-1.15],0.00115553902854335,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,LAMP3,Lysosome-associated membrane glycoprotein 3,Wald ratio,1,1.09 [1.03-1.15],0.0011681045816218,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,WFDC2,WAP four-disulfide core domain protein 2,Wald ratio,1,1.09 [1.03-1.14],0.00184280196260724,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,ACVRL1,Serine/threonine-protein kinase receptor R3,Wald ratio,1,1.08 [1.02-1.13],0.00408473644782871,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,PLAUR,Urokinase plasminogen activator surface receptor,Wald ratio,1,1.08 [1.02-1.14],0.00484205570013752,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,Wald ratio,1,1.08 [1.02-1.14],0.00500305566085198,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,FAM20A,Pseudokinase FAM20A,Wald ratio,1,1.07 [1.02-1.13],0.00708345267519839,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,LRG1,Leucine-rich alpha-2-glycoprotein,Wald ratio,1,1.07 [1.02-1.12],0.00748015974565414,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,TFF2,Trefoil factor 2,Wald ratio,1,1.07 [1.02-1.13],0.00839739377788461,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,Wald ratio,1,1.07 [1.02-1.13],0.0094389945685189,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,RAB6A,Ras-related protein Rab-6A,Wald ratio,1,0.94 [0.89-0.99],0.0136497041271539,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,SPON1,Spondin-1,Wald ratio,1,1.07 [1.01-1.12],0.0138981335017125,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,PRSS8,Prostasin,Wald ratio,1,1.07 [1.01-1.12],0.0140324751541154,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,ANGPT2,Angiopoietin-2,Wald ratio,1,1.07 [1.01-1.13],0.0149478693379954,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,MMP7,Matrilysin,Wald ratio,1,1.07 [1.01-1.12],0.0150471546116857,trans
Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,PIGR,Polymeric immunoglobulin receptor,Wald ratio,1,1.07 [1.01-1.13],0.0172822212297066,trans
