Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,HAVCR1,Hepatitis A virus cellular receptor 1,Inverse variance weighted,12,0.97 [0.96-0.99],0.00623838470216088,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,CXCL9,C-X-C motif chemokine 9,Inverse variance weighted,12,0.98 [0.95-1],0.0715338630721602,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,CST3,Cystatin-C,Inverse variance weighted,12,0.98 [0.95-1],0.075144802584326,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,APRT,Adenine phosphoribosyltransferase,Inverse variance weighted,12,1.02 [0.99-1.06],0.114472612399856,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Inverse variance weighted,12,0.99 [0.96-1.01],0.255710405999502,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Inverse variance weighted,12,1.01 [0.99-1.04],0.358932045790138,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,AGR3,Anterior gradient protein 3,Inverse variance weighted,12,0.99 [0.97-1.01],0.389486387388101,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,ANXA10,Annexin A10,Inverse variance weighted,12,0.99 [0.97-1.01],0.461459779644382,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,GBP4,Guanylate-binding protein 4,Inverse variance weighted,12,1 [0.99-1.02],0.623160686447258,trans
Chapter II Neoplasms,C3_MELANOMA_SKIN_EXALLC,TGFBR2,TGF-beta receptor type-2,Inverse variance weighted,12,1 [0.97-1.02],0.866812409158608,trans
