Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,9,1.09 [1.02-1.17],0.00782404151795411,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,ICAM3,Intercellular adhesion molecule 3,Inverse variance weighted,9,1.16 [1.04-1.3],0.00892293211039848,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,PRG3,Proteoglycan 3,Inverse variance weighted,9,1.22 [1.02-1.45],0.0293715765992986,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,9,1.11 [1-1.22],0.0410601827316623,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,IL10RB,Interleukin-10 receptor subunit beta,Inverse variance weighted,9,1.07 [1-1.14],0.0555126170475524,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,SPINT1,Kunitz-type protease inhibitor 1,Inverse variance weighted,9,1.09 [1-1.19],0.0556338831626118,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,TIMP1,Metalloproteinase inhibitor 1,Inverse variance weighted,9,1.1 [0.99-1.22],0.0626366416919248,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,9,1.1 [0.99-1.21],0.070352591086722,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,Inverse variance weighted,9,0.91 [0.81-1.02],0.10950387551139,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,9,0.92 [0.82-1.03],0.149624077847078,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,IL22,Interleukin-22,Inverse variance weighted,9,1.09 [0.96-1.23],0.178707702935754,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,IL32,Interleukin-32,Inverse variance weighted,9,1.08 [0.96-1.21],0.188976502723123,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,MMP12,Macrophage metalloelastase,Inverse variance weighted,9,1.07 [0.97-1.19],0.191798419903385,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,9,1.07 [0.95-1.2],0.295094457172169,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,SPON2,Spondin-2,Inverse variance weighted,9,0.95 [0.86-1.05],0.308365774649475,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,LY6D,Lymphocyte antigen 6D,Inverse variance weighted,9,1.06 [0.95-1.17],0.323584286484038,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,IL19,Interleukin-19,Inverse variance weighted,9,1.06 [0.94-1.2],0.332827483265727,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,CCL17,C-C motif chemokine 17,Inverse variance weighted,9,1.09 [0.88-1.35],0.415131211966748,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,9,0.95 [0.81-1.12],0.560043786660824,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,GPR15L,Protein GPR15L,Inverse variance weighted,9,0.98 [0.88-1.09],0.652935111294884,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,SIRPB1,Signal-regulatory protein beta-1,Inverse variance weighted,9,0.98 [0.9-1.07],0.661704079420159,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,LTBP2,Latent-transforming growth factor beta-binding protein 2,Inverse variance weighted,9,0.99 [0.92-1.05],0.679707447936515,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,IGFBPL1,Insulin-like growth factor-binding protein-like 1,Inverse variance weighted,9,1.02 [0.93-1.11],0.702864230425646,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,PDCD1,Programmed cell death protein 1,Inverse variance weighted,9,1.03 [0.87-1.22],0.73286781222107,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,9,1.02 [0.9-1.15],0.736068142875882,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,9,1.02 [0.92-1.12],0.740258142375451,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Inverse variance weighted,9,1.02 [0.91-1.13],0.753702874147951,trans
Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISNAS,ZBTB17,Zinc finger and BTB domain-containing protein 17,Inverse variance weighted,9,0.99 [0.92-1.07],0.778508256918701,trans
