Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XI Diseases of the digestive system,K11_CROHN,CRELD1,Protein disulfide isomerase CRELD1,Inverse variance weighted,3,1.04 [1.01-1.07],0.0180631803264713,trans
Chapter XI Diseases of the digestive system,K11_CROHN,GLA,Alpha-galactosidase A,Inverse variance weighted,3,1.04 [1.01-1.08],0.0239463157180517,trans
Chapter XI Diseases of the digestive system,K11_CROHN,PGLYRP1,Peptidoglycan recognition protein 1,Inverse variance weighted,3,1.08 [1.01-1.15],0.0275044886798165,trans
Chapter XI Diseases of the digestive system,K11_CROHN,PON3,Serum paraoxonase/lactonase 3,Inverse variance weighted,3,0.96 [0.92-1],0.0427566609168776,trans
Chapter XI Diseases of the digestive system,K11_CROHN,CPM,Carboxypeptidase M,Inverse variance weighted,3,1.03 [1-1.07],0.0626433795847732,trans
Chapter XI Diseases of the digestive system,K11_CROHN,LCN2,Neutrophil gelatinase-associated lipocalin,Inverse variance weighted,3,1.04 [1-1.07],0.0637003045440801,trans
Chapter XI Diseases of the digestive system,K11_CROHN,IL1R2,Interleukin-1 receptor type 2,Inverse variance weighted,3,1.04 [1-1.09],0.0722165943085718,trans
Chapter XI Diseases of the digestive system,K11_CROHN,CDCP1,CUB domain-containing protein 1,Inverse variance weighted,3,0.97 [0.94-1],0.0724333401162269,trans
Chapter XI Diseases of the digestive system,K11_CROHN,ADAMTSL2,ADAMTS-like protein 2,Inverse variance weighted,3,1.03 [1-1.07],0.0739641497473492,trans
Chapter XI Diseases of the digestive system,K11_CROHN,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,3,1.03 [1-1.07],0.083847936802988,trans
Chapter XI Diseases of the digestive system,K11_CROHN,MME,Neprilysin,Inverse variance weighted,3,1.03 [1-1.06],0.0953496491515946,trans
Chapter XI Diseases of the digestive system,K11_CROHN,EFNA1,Ephrin-A1,Inverse variance weighted,3,1.03 [0.99-1.07],0.102233592129798,trans
Chapter XI Diseases of the digestive system,K11_CROHN,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Inverse variance weighted,3,1.04 [0.99-1.1],0.104797003578792,trans
Chapter XI Diseases of the digestive system,K11_CROHN,QPCT,Glutaminyl-peptide cyclotransferase,Inverse variance weighted,3,1.03 [0.99-1.07],0.10635623499006,trans
Chapter XI Diseases of the digestive system,K11_CROHN,MFGE8,Lactadherin,Inverse variance weighted,3,1.03 [0.99-1.07],0.106455355918373,trans
Chapter XI Diseases of the digestive system,K11_CROHN,IL10,Interleukin-10,Inverse variance weighted,3,0.96 [0.9-1.01],0.110329545787674,trans
Chapter XI Diseases of the digestive system,K11_CROHN,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,3,1.03 [0.99-1.06],0.125276270558031,trans
Chapter XI Diseases of the digestive system,K11_CROHN,SMOC1,SPARC-related modular calcium-binding protein 1,Inverse variance weighted,3,1.03 [0.99-1.06],0.128154509775377,trans
Chapter XI Diseases of the digestive system,K11_CROHN,IL18R1,Interleukin-18 receptor 1,Inverse variance weighted,3,1.02 [0.99-1.05],0.129564050062042,trans
Chapter XI Diseases of the digestive system,K11_CROHN,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,3,1.03 [0.99-1.07],0.130157132999449,trans
Chapter XI Diseases of the digestive system,K11_CROHN,COL4A1,Collagen alpha-1(IV) chain,Inverse variance weighted,3,0.96 [0.92-1.01],0.134697105350098,trans
