Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter II Neoplasms,C3_BREAST_EXALLC,MET,Hepatocyte growth factor receptor,Inverse variance weighted,46,1.03 [1.01-1.05],0.00838657454862873,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,DCTPP1,dCTP pyrophosphatase 1,Inverse variance weighted,46,0.97 [0.94-0.99],0.0137808795295387,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,DKK3,Dickkopf-related protein 3,Inverse variance weighted,46,1.03 [1.01-1.06],0.016482794045168,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,FCRL2,Fc receptor-like protein 2,Inverse variance weighted,46,0.97 [0.95-1],0.018426393273703,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,COL1A1,Collagen alpha-1(I) chain,Inverse variance weighted,46,1.02 [1-1.05],0.033718074263578,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,ROBO2,Roundabout homolog 2,Inverse variance weighted,46,0.98 [0.96-1],0.0673947900019572,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,LYVE1,Lymphatic vessel endothelial hyaluronic acid receptor 1,Inverse variance weighted,46,0.98 [0.96-1],0.0681488977678497,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,SPP1,Osteopontin,Inverse variance weighted,46,1.02 [1-1.05],0.0876872191968183,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,NT5C1A,Cytosolic 5'-nucleotidase 1A,Inverse variance weighted,46,0.98 [0.95-1],0.0943611461755986,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,Inverse variance weighted,46,0.98 [0.96-1],0.0950795918906887,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,46,0.98 [0.96-1],0.102138905205434,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,KLK4,Kallikrein-4,Inverse variance weighted,46,1.02 [1-1.04],0.103575414800871,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,ROBO1,Roundabout homolog 1,Inverse variance weighted,46,0.98 [0.95-1.01],0.110046409812924,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,DTX3,Probable E3 ubiquitin-protein ligase DTX3,Inverse variance weighted,46,0.98 [0.96-1],0.11908518246382,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,LTBP2,Latent-transforming growth factor beta-binding protein 2,Inverse variance weighted,46,1.02 [0.99-1.04],0.145454883946748,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,MSR1,Macrophage scavenger receptor types I and II,Inverse variance weighted,46,0.98 [0.95-1.01],0.146222630230082,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,IGSF3,Immunoglobulin superfamily member 3,Inverse variance weighted,46,0.98 [0.95-1.01],0.15273298697371,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,CCL2,C-C motif chemokine 2,Inverse variance weighted,46,1.02 [0.99-1.04],0.156063662756948,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,Inverse variance weighted,46,1.02 [0.99-1.04],0.163723062107801,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,46,0.99 [0.97-1.01],0.164414899047145,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,CCL15,C-C motif chemokine 15,Inverse variance weighted,46,0.99 [0.97-1.01],0.165197812292292,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,ISM1,Isthmin-1,Inverse variance weighted,46,1.02 [0.99-1.04],0.166686955000927,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,PRND,Prion-like protein doppel,Inverse variance weighted,46,1.02 [0.99-1.04],0.177192151215696,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,SIGLEC1,Sialoadhesin,Inverse variance weighted,46,0.98 [0.96-1.01],0.190273695734709,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,OMD,Osteomodulin,Inverse variance weighted,46,1.02 [0.99-1.04],0.195509152900496,trans
Chapter II Neoplasms,C3_BREAST_EXALLC,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,46,0.99 [0.96-1.01],0.201787828055404,trans
