Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,CRTAC1,Cartilage acidic protein 1,Inverse variance weighted,51,1.13 [1.07-1.2],4.68213020772574e-05,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,51,1.16 [1.07-1.25],0.000160825509803869,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,MYL3,Myosin light chain 3,Inverse variance weighted,51,1.1 [1.05-1.16],0.000325953002709024,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,MYBPC1,"Myosin-binding protein C, slow-type",Inverse variance weighted,51,1.11 [1.05-1.17],0.00049555490244982,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,COMP,Cartilage oligomeric matrix protein,Inverse variance weighted,51,1.13 [1.05-1.21],0.000558659285507215,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,IGF2R,Cation-independent mannose-6-phosphate receptor,Inverse variance weighted,51,1.11 [1.05-1.18],0.000686758634550741,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,THBS4,Thrombospondin-4,Inverse variance weighted,51,1.11 [1.04-1.18],0.000812740412049557,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,PLA2G2A,"Phospholipase A2, membrane associated",Inverse variance weighted,51,1.08 [1.03-1.13],0.000821653395175129,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,MYOM3,Myomesin-3,Inverse variance weighted,51,1.11 [1.04-1.18],0.00100973817253947,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,LTA4H,Leukotriene A-4 hydrolase,Inverse variance weighted,51,1.09 [1.03-1.15],0.00132207793712142,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,LRG1,Leucine-rich alpha-2-glycoprotein,Inverse variance weighted,51,1.08 [1.03-1.13],0.00134198207277217,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,Inverse variance weighted,51,1.1 [1.03-1.17],0.00336163468955469,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,LAMP3,Lysosome-associated membrane glycoprotein 3,Inverse variance weighted,51,1.08 [1.02-1.13],0.00414865074946762,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,NOS1,"Nitric oxide synthase, brain",Inverse variance weighted,51,1.07 [1.02-1.13],0.00723876184703037,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,CYTL1,Cytokine-like protein 1,Inverse variance weighted,51,0.92 [0.87-0.98],0.00812730715480892,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,CPM,Carboxypeptidase M,Inverse variance weighted,51,1.09 [1.02-1.17],0.0082601723591302,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,SCRG1,Scrapie-responsive protein 1,Inverse variance weighted,51,1.08 [1.02-1.15],0.00880576432555908,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,CCL7,C-C motif chemokine 7,Inverse variance weighted,51,1.08 [1.02-1.14],0.00906019400263589,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,PALM2,Paralemmin-2,Inverse variance weighted,51,1.08 [1.02-1.15],0.0091303988154175,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,EDN1,Endothelin-1,Inverse variance weighted,51,1.07 [1.02-1.13],0.00992976140815563,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,DTNB,Dystrobrevin beta,Inverse variance weighted,51,1.07 [1.02-1.13],0.0105394855282798,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,FABP3,"Fatty acid-binding protein, heart",Inverse variance weighted,51,1.08 [1.02-1.14],0.011763196933786,trans
