Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,1.55 [0.51-4.74],0.439953334163522
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,WFDC12,WAP four-disulfide core domain protein 12,Inverse variance weighted,59,0.97 [0.86-1.10],0.620573160437308
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,9,0.94 [0.63-1.40],0.769244839652387
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,IL17C,Interleukin-17C,Inverse variance weighted,8,1.64 [0.92-2.92],0.0945379518558189
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,TMPRSS11D,Transmembrane protease serine 11D,Inverse variance weighted,4,0.95 [0.58-1.54],0.823155047935143
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.22 [0.83-1.79],0.317680550908233
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,CD300E,CMRF35-like molecule 2,Inverse variance weighted,36,1.09 [0.95-1.26],0.214175064339159
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,EREG,Proepiregulin,Inverse variance weighted,7,1.15 [0.72-1.83],0.565447109614699
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,NECTIN4,Nectin-4,Inverse variance weighted,12,0.84 [0.68-1.03],0.0963664321832026
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,KLK6,Kallikrein-6,Inverse variance weighted,6,1.17 [0.68-2.01],0.566847498866645
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,0.63 [0.30-1.35],0.23833824115197
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,SBSN,Suprabasin,Inverse variance weighted,28,0.97 [0.86-1.10],0.65846402112195
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,29,1.09 [0.96-1.24],0.195836846034488
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,LY6D,Lymphocyte antigen 6D,Inverse variance weighted,31,0.85 [0.75-0.98],0.0206729576356545
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,KLK11,Kallikrein-11,Inverse variance weighted,19,1.02 [0.89-1.16],0.805754642348056
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,0.88 [0.63-1.22],0.439842029685407
