Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Epilepsy,CTSC,Dipeptidyl peptidase 1,Inverse variance weighted,35,1.04 [0.99-1.09],0.105328208113353
Chapter VI Diseases of the nervous system,Epilepsy,MME,Neprilysin,Inverse variance weighted,49,0.99 [0.93-1.05],0.689940219178355
Chapter VI Diseases of the nervous system,Epilepsy,LAYN,Layilin,Inverse variance weighted,23,0.97 [0.90-1.04],0.427797140182588
Chapter VI Diseases of the nervous system,Epilepsy,CD276,CD276 antigen,Inverse variance weighted,47,0.99 [0.95-1.03],0.515738561950251
Chapter VI Diseases of the nervous system,Epilepsy,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,31,1.07 [0.91-1.25],0.408381844176945
Chapter VI Diseases of the nervous system,Epilepsy,AMOT,Angiomotin,Inverse variance weighted,9,1.07 [0.89-1.29],0.446187266134031
Chapter VI Diseases of the nervous system,Epilepsy,SHBG,Sex hormone-binding globulin,Inverse variance weighted,23,0.97 [0.91-1.03],0.307023216735626
Chapter VI Diseases of the nervous system,Epilepsy,AMBP,Protein AMBP,Inverse variance weighted,5,1.08 [0.92-1.27],0.336507347454917
Chapter VI Diseases of the nervous system,Epilepsy,KITLG,Kit ligand,Inverse variance weighted,31,1.00 [0.92-1.08],0.922089623408696
Chapter VI Diseases of the nervous system,Epilepsy,COL4A1,Collagen alpha-1(IV) chain,Inverse variance weighted,31,0.95 [0.89-1.00],0.0654163625519915
Chapter VI Diseases of the nervous system,Epilepsy,SDC4,Syndecan-4,Inverse variance weighted,37,1.01 [0.94-1.09],0.784212297813873
Chapter VI Diseases of the nervous system,Epilepsy,TSPAN8,Tetraspanin-8,Inverse variance weighted,46,1.00 [0.94-1.05],0.905703102178369
Chapter VI Diseases of the nervous system,Epilepsy,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,12,0.99 [0.90-1.10],0.913881783035505
Chapter VI Diseases of the nervous system,Epilepsy,NEFL,Neurofilament light polypeptide,Inverse variance weighted,6,0.91 [0.69-1.20],0.497875594594499
Chapter VI Diseases of the nervous system,Epilepsy,WFIKKN1,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1",Inverse variance weighted,40,1.02 [0.96-1.09],0.522424241369803
Chapter VI Diseases of the nervous system,Epilepsy,LAMP3,Lysosome-associated membrane glycoprotein 3,Inverse variance weighted,22,1.07 [0.98-1.17],0.110971698794675
Chapter VI Diseases of the nervous system,Epilepsy,GGT1,Glutathione hydrolase 1 proenzyme,Inverse variance weighted,16,1.00 [0.92-1.10],0.956579190695738
Chapter VI Diseases of the nervous system,Epilepsy,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,1.01 [0.98-1.05],0.401161515758438
Chapter VI Diseases of the nervous system,Epilepsy,ANPEP,Aminopeptidase N,Inverse variance weighted,25,1.06 [1.00-1.12],0.0406401328449659
Chapter VI Diseases of the nervous system,Epilepsy,FGA,Fibrinogen alpha chain,Inverse variance weighted,10,0.99 [0.86-1.13],0.874088070193925
Chapter VI Diseases of the nervous system,Epilepsy,IL1R1,Interleukin-1 receptor type 1,Inverse variance weighted,22,1.08 [0.98-1.19],0.139776435715515
Chapter VI Diseases of the nervous system,Epilepsy,NOS3,"Nitric oxide synthase, endothelial",Inverse variance weighted,5,1.05 [0.83-1.34],0.673637971405503
Chapter VI Diseases of the nervous system,Epilepsy,NPTX1,Neuronal pentraxin-1,Inverse variance weighted,46,1.01 [0.97-1.06],0.543783175226411
Chapter VI Diseases of the nervous system,Epilepsy,HYAL1,Hyaluronidase-1,Inverse variance weighted,23,1.04 [0.98-1.11],0.171105704570163
Chapter VI Diseases of the nervous system,Epilepsy,NTproBNP,N-terminal prohormone of brain natriuretic peptide,Inverse variance weighted,20,1.03 [0.95-1.12],0.455984962819907
Chapter VI Diseases of the nervous system,Epilepsy,SMPD1,Sphingomyelin phosphodiesterase,Inverse variance weighted,34,1.04 [0.98-1.11],0.221711940753054
Chapter VI Diseases of the nervous system,Epilepsy,TGFBR2,TGF-beta receptor type-2,Inverse variance weighted,11,1.03 [0.85-1.25],0.767451578368596
Chapter VI Diseases of the nervous system,Epilepsy,GFRAL,GDNF family receptor alpha-like,Inverse variance weighted,54,0.99 [0.96-1.03],0.73830710800413
Chapter VI Diseases of the nervous system,Epilepsy,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,1.04 [0.87-1.24],0.699324600890539
Chapter VI Diseases of the nervous system,Epilepsy,CDHR5,Cadherin-related family member 5,Inverse variance weighted,47,1.04 [1.00-1.08],0.0596180257140395
Chapter VI Diseases of the nervous system,Epilepsy,CTSL,Cathepsin L1,Inverse variance weighted,29,0.96 [0.89-1.05],0.419472642627116
