Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Hernia,INHBC,Inhibin beta C chain,Inverse variance weighted,39,1.01 [0.98-1.03],0.529280786940896
Chapter XI Diseases of the digestive system,Hernia,LRRN1,Leucine-rich repeat neuronal protein 1,Inverse variance weighted,41,1.03 [0.98-1.08],0.231542906052122
Chapter XI Diseases of the digestive system,Hernia,TFF3,Trefoil factor 3,Inverse variance weighted,10,0.95 [0.88-1.03],0.223093430784646
Chapter XI Diseases of the digestive system,Hernia,CXCL9,C-X-C motif chemokine 9,Inverse variance weighted,11,0.98 [0.91-1.06],0.679985955319983
Chapter XI Diseases of the digestive system,Hernia,TFRC,Transferrin receptor protein 1,Inverse variance weighted,48,0.98 [0.96-1.01],0.160211068941989
Chapter XI Diseases of the digestive system,Hernia,INHBB,Inhibin beta B chain,Inverse variance weighted,16,1.02 [0.96-1.09],0.581364806871587
Chapter XI Diseases of the digestive system,Hernia,CCL7,C-C motif chemokine 7,Inverse variance weighted,14,1.02 [0.96-1.09],0.440980268686626
Chapter XI Diseases of the digestive system,Hernia,IL18BP,Interleukin-18-binding protein,Inverse variance weighted,13,0.96 [0.90-1.03],0.277543645968782
Chapter XI Diseases of the digestive system,Hernia,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,1.00 [0.95-1.06],0.902858713408944
Chapter XI Diseases of the digestive system,Hernia,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,1.01 [0.89-1.15],0.891898697872644
Chapter XI Diseases of the digestive system,Hernia,CCL11,Eotaxin,Inverse variance weighted,11,1.01 [0.97-1.06],0.542346260326352
Chapter XI Diseases of the digestive system,Hernia,PDCD1,Programmed cell death protein 1,Inverse variance weighted,24,1.04 [0.99-1.08],0.112312022582492
Chapter XI Diseases of the digestive system,Hernia,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,30,1.01 [0.97-1.06],0.502322954062702
Chapter XI Diseases of the digestive system,Hernia,TGFA,Protransforming growth factor alpha,Inverse variance weighted,11,1.10 [0.98-1.22],0.0954004691500838
Chapter XI Diseases of the digestive system,Hernia,CD300E,CMRF35-like molecule 2,Inverse variance weighted,36,1.01 [0.98-1.04],0.713693024913165
Chapter XI Diseases of the digestive system,Hernia,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,25,1.01 [0.97-1.04],0.737047822341036
Chapter XI Diseases of the digestive system,Hernia,CGA,Glycoprotein hormones alpha chain,Inverse variance weighted,3,1.53 [0.89-2.65],0.123477026897421
Chapter XI Diseases of the digestive system,Hernia,IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,0.96 [0.81-1.14],0.652297091652293
Chapter XI Diseases of the digestive system,Hernia,CD83,CD83 antigen,Inverse variance weighted,19,1.05 [0.99-1.11],0.117527063336173
Chapter XI Diseases of the digestive system,Hernia,PRG2,Bone marrow proteoglycan,Inverse variance weighted,40,1.03 [0.99-1.08],0.0950398382077644
Chapter XI Diseases of the digestive system,Hernia,CST3,Cystatin-C,Inverse variance weighted,13,0.99 [0.95-1.03],0.559381567848401
Chapter XI Diseases of the digestive system,Hernia,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.00 [0.91-1.11],0.930229667371541
