Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,AGR2,Anterior gradient protein 2 homolog,Inverse variance weighted,3,1.04 [0.56-1.93],0.899785657109314
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,10,1.04 [0.83-1.30],0.752940816719822
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,MDK,Midkine,Inverse variance weighted,19,1.21 [0.95-1.54],0.115721338223087
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,CAPG,Macrophage-capping protein,Inverse variance weighted,34,1.11 [1.00-1.24],0.0578622266452064
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,CLEC4D,C-type lectin domain family 4 member D,Inverse variance weighted,9,1.09 [0.71-1.67],0.704406949404961
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,RNASE6,Ribonuclease K6,Inverse variance weighted,20,0.80 [0.70-0.92],0.0021313530998376
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,CXCL9,C-X-C motif chemokine 9,Inverse variance weighted,11,1.05 [0.77-1.43],0.75573227918408
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,15,1.00 [0.82-1.23],0.982504844183096
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,CD300A,CMRF35-like molecule 8,Inverse variance weighted,35,1.00 [0.88-1.12],0.943804276800488
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,KLK4,Kallikrein-4,Inverse variance weighted,20,0.90 [0.79-1.03],0.128742874388692
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,PRG2,Bone marrow proteoglycan,Inverse variance weighted,40,0.99 [0.85-1.16],0.941560426095084
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,YAP1,Transcriptional coactivator YAP1,Inverse variance weighted,10,0.92 [0.68-1.24],0.582026558921134
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,HPGDS,Hematopoietic prostaglandin D synthase,Inverse variance weighted,27,1.03 [0.95-1.12],0.424640191388656
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,HIP1R,Huntingtin-interacting protein 1-related protein,Inverse variance weighted,2,0.85 [0.52-1.38],0.51138874944304
Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,SEPTIN8,Septin-8,Inverse variance weighted,6,0.92 [0.62-1.36],0.66342460352064
