Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Functional dyspepsia,SCT,Secretin,Inverse variance weighted,5,0.91 [0.68-1.22],0.521813923252433
Chapter XI Diseases of the digestive system,Functional dyspepsia,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,1.02 [0.87-1.20],0.829600605811354
Chapter XI Diseases of the digestive system,Functional dyspepsia,CGA,Glycoprotein hormones alpha chain,Inverse variance weighted,3,0.82 [0.51-1.33],0.423988906629619
Chapter XI Diseases of the digestive system,Functional dyspepsia,ANXA10,Annexin A10,Wald ratio,1,0.74 [0.41-1.34],0.315444457337622
Chapter XI Diseases of the digestive system,Functional dyspepsia,GAST,Gastrin,Inverse variance weighted,9,1.03 [0.87-1.22],0.707024314726997
Chapter XI Diseases of the digestive system,Functional dyspepsia,CBLIF,Cobalamin binding intrinsic factor,Inverse variance weighted,59,1.02 [0.98-1.07],0.283146000654326
Chapter XI Diseases of the digestive system,Functional dyspepsia,CHGA,Chromogranin-A,Inverse variance weighted,8,0.95 [0.83-1.07],0.387522729081975
Chapter XI Diseases of the digestive system,Functional dyspepsia,LIPF,Gastric triacylglycerol lipase,Inverse variance weighted,24,1.06 [0.98-1.15],0.1377296017256
Chapter XI Diseases of the digestive system,Functional dyspepsia,SCG3,Secretogranin-3,Inverse variance weighted,48,1.01 [0.95-1.06],0.854040659973262
Chapter XI Diseases of the digestive system,Functional dyspepsia,PGA4,Pepsin A-4,Inverse variance weighted,9,1.00 [0.82-1.22],0.999987222528146
Chapter XI Diseases of the digestive system,Functional dyspepsia,VSIG2,V-set and immunoglobulin domain-containing protein 2,Inverse variance weighted,5,0.95 [0.83-1.08],0.426294518722533
