Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Ventral hernia,TFF3,Trefoil factor 3,Inverse variance weighted,10,1.02 [0.85-1.24],0.801384418565886
Chapter XI Diseases of the digestive system,Ventral hernia,VSIG2,V-set and immunoglobulin domain-containing protein 2,Inverse variance weighted,5,0.93 [0.80-1.07],0.295038273602407
Chapter XI Diseases of the digestive system,Ventral hernia,CKAP4,Cytoskeleton-associated protein 4,Inverse variance weighted,15,0.99 [0.88-1.10],0.806219335006775
Chapter XI Diseases of the digestive system,Ventral hernia,IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,0.94 [0.34-2.54],0.896662284492934
Chapter XI Diseases of the digestive system,Ventral hernia,NPDC1,Neural proliferation differentiation and control protein 1,Inverse variance weighted,7,0.95 [0.64-1.41],0.806146459105013
Chapter XI Diseases of the digestive system,Ventral hernia,CST3,Cystatin-C,Inverse variance weighted,13,0.97 [0.89-1.07],0.599819759782064
Chapter XI Diseases of the digestive system,Ventral hernia,CKB,Creatine kinase B-type,Inverse variance weighted,11,0.97 [0.74-1.28],0.827740471590954
Chapter XI Diseases of the digestive system,Ventral hernia,RNASE6,Ribonuclease K6,Inverse variance weighted,20,1.03 [0.96-1.11],0.384423627433623
Chapter XI Diseases of the digestive system,Ventral hernia,IGFBP2,Insulin-like growth factor-binding protein 2,Inverse variance weighted,13,1.00 [0.78-1.29],0.974415878191264
Chapter XI Diseases of the digestive system,Ventral hernia,CHGA,Chromogranin-A,Inverse variance weighted,8,1.01 [0.87-1.17],0.908646246378438
Chapter XI Diseases of the digestive system,Ventral hernia,COL18A1,Collagen alpha-1(XVIII) chain,Inverse variance weighted,17,1.09 [0.97-1.23],0.126533424849326
Chapter XI Diseases of the digestive system,Ventral hernia,SHISA5,Protein shisa-5,Inverse variance weighted,16,0.91 [0.75-1.11],0.367586196069119
Chapter XI Diseases of the digestive system,Ventral hernia,AGR2,Anterior gradient protein 2 homolog,Inverse variance weighted,3,0.87 [0.69-1.11],0.270367096915964
Chapter XI Diseases of the digestive system,Ventral hernia,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,1.06 [0.87-1.31],0.552223153360055
Chapter XI Diseases of the digestive system,Ventral hernia,CLEC5A,C-type lectin domain family 5 member A,Inverse variance weighted,18,1.04 [0.95-1.15],0.37328334993734
Chapter XI Diseases of the digestive system,Ventral hernia,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,0.95 [0.79-1.14],0.569446211282268
Chapter XI Diseases of the digestive system,Ventral hernia,RNASE1,Ribonuclease pancreatic,Inverse variance weighted,6,0.92 [0.80-1.06],0.265508041313335
Chapter XI Diseases of the digestive system,Ventral hernia,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,1.19 [0.86-1.65],0.298423353170847
