Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",A1BG,Alpha-1B-glycoprotein,10667,106,1.56 [0.55-4.43],0.4072963184491632
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",AAMDC,Mth938 domain-containing protein,10387,106,0.72 [0.50-1.04],0.078706618706733
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",AARSD1,Alanyl-tRNA editing protein Aarsd1,11950,110,1.18 [0.88-1.57],0.2671346853980152
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ABCA2,ATP-binding cassette sub-family A member 2,10295,102,2.06 [1.32-3.23],0.0015748441125146
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ABHD14B,Protein ABHD14B,11891,113,0.86 [0.64-1.16],0.3220084362336102
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ABL1,Tyrosine-protein kinase ABL1,11950,110,0.92 [0.71-1.20],0.5499114531984618
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ABO,Histo-blood group ABO system transferase,10649,108,0.97 [0.85-1.10],0.5839065410704092
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ABRAXAS2,BRISC complex subunit Abraxas 2,10295,102,0.72 [0.53-0.97],0.0330190217488745
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",11743,112,1.12 [0.91-1.38],0.2853218582543051
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",10462,105,1.03 [0.79-1.34],0.8226304528046486
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10650,108,0.76 [0.61-0.94],0.0129119688514513
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACAN,Aggrecan core protein,11882,111,0.65 [0.35-1.22],0.1832946737500217
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACE,Angiotensin-converting enzyme,10649,108,4.79 [2.57-8.94],8.449361476754612e-07
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACE2,Angiotensin-converting enzyme 2,11786,109,1.70 [1.29-2.23],0.000158895218784
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACHE,Acetylcholinesterase,10443,106,1.59 [0.97-2.61],0.0648241832963565
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACOT13,Acyl-coenzyme A thioesterase 13,10579,106,0.85 [0.72-1.00],0.0538180117331988
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,12000,112,0.93 [0.66-1.32],0.687297252309321
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACP1,Low molecular weight phosphotyrosine protein phosphatase,10343,105,0.66 [0.42-1.04],0.071298098297179
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACP5,Tartrate-resistant acid phosphatase type 5,12070,111,0.32 [0.19-0.55],3.934077347729694e-05
Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",ACP6,Lysophosphatidic acid phosphatase type 6,12090,114,1.14 [0.88-1.48],0.3196239085271714
