Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",CNTN1,Contactin-1,Inverse variance weighted,45,0.93 [0.89-0.96],0.0001674217940235
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",IL6,Interleukin-6,Inverse variance weighted,6,1.14 [1.06-1.23],0.0003786663566817
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",SEPTIN8,Septin-8,Inverse variance weighted,6,0.76 [0.63-0.91],0.0023940384382086
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",MRC1,Macrophage mannose receptor 1,Inverse variance weighted,24,1.11 [1.04-1.18],0.0008062770893587
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",COL28A1,Collagen alpha-1(XXVIII) chain,Inverse variance weighted,49,1.03 [1.01-1.05],0.0025762215878156
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",MMP12,Macrophage metalloelastase,Inverse variance weighted,21,1.05 [1.01-1.08],0.0074470239990859
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",TINAGL1,Tubulointerstitial nephritis antigen-like,Inverse variance weighted,15,1.08 [1.02-1.15],0.0091734665824764
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",PLA2G15,Phospholipase A2 group XV,Inverse variance weighted,32,1.06 [1.02-1.11],0.0025956908149595
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,26,0.92 [0.89-0.96],0.0001595837445148
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",SEMA3F,Semaphorin-3F,Inverse variance weighted,46,0.90 [0.85-0.94],4.90405612359902e-06
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",CCL15,C-C motif chemokine 15,Inverse variance weighted,28,0.98 [0.96-0.99],0.0058027338300726
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",IL1RL1,Interleukin-1 receptor-like 1,Inverse variance weighted,66,0.95 [0.93-0.98],0.0003200991907594
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",LEP,Leptin,Inverse variance weighted,4,1.62 [1.18-2.22],0.002808327565734
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",IL18R1,Interleukin-18 receptor 1,Inverse variance weighted,66,1.04 [1.02-1.07],0.0010765447365222
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",IL4R,Interleukin-4 receptor subunit alpha,Inverse variance weighted,18,0.88 [0.83-0.93],1.44943056703845e-05
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",CLC,Galectin-10,Inverse variance weighted,15,1.52 [1.11-2.09],0.0096058676270368
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.12 [1.04-1.20],0.0015029268736789
Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,1.48 [1.22-1.80],7.88576300699996e-05
