Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
CFC1,Cryptic protein,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,Inverse variance weighted,11,1.02 [0.92-1.13],0.651157181903196
CFC1,Cryptic protein,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,Inverse variance weighted,11,1.00 [0.91-1.09],0.913966892085661
CFC1,Cryptic protein,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,Inverse variance weighted,11,1.22 [0.43-3.44],0.704702904961406
CFC1,Cryptic protein,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",Inverse variance weighted,11,1.03 [0.62-1.71],0.903986083231218
CFC1,Cryptic protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,Inverse variance weighted,11,1.51 [0.76-3.00],0.242977974333592
CFC1,Cryptic protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,11,1.02 [0.81-1.30],0.855155456733175
CFC1,Cryptic protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,11,0.99 [0.85-1.15],0.884358821657179
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,Inverse variance weighted,11,0.75 [0.24-2.31],0.616599756109806
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,Inverse variance weighted,11,0.78 [0.52-1.15],0.211926092275637
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,Inverse variance weighted,11,1.07 [0.92-1.23],0.395166334470642
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,11,0.91 [0.73-1.15],0.434705790103541
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,Inverse variance weighted,11,0.69 [0.48-0.99],0.042738487733773
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,Inverse variance weighted,11,0.70 [0.45-1.09],0.110636264723551
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,Inverse variance weighted,11,1.12 [0.78-1.61],0.552433982833569
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,11,0.98 [0.88-1.08],0.638678870268338
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,11,0.95 [0.85-1.07],0.391059686289278
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,Inverse variance weighted,11,0.99 [0.69-1.41],0.938516571715994
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,Inverse variance weighted,11,1.07 [0.78-1.45],0.69029632856009
CFC1,Cryptic protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,Inverse variance weighted,11,0.87 [0.57-1.32],0.504877836724567
CFC1,Cryptic protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",Inverse variance weighted,11,0.92 [0.73-1.16],0.490551931178717
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Angina pectoris,Inverse variance weighted,11,0.94 [0.84-1.04],0.220173164387657
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,Inverse variance weighted,11,1.07 [0.76-1.51],0.701461093652723
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",Inverse variance weighted,11,0.98 [0.81-1.19],0.818134611889692
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Cardiac arrest,Inverse variance weighted,11,1.17 [0.78-1.76],0.445030405397083
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,11,1.03 [0.89-1.19],0.668215172750859
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,11,0.96 [0.86-1.08],0.516938800939257
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Hypotension,Inverse variance weighted,11,1.03 [0.80-1.33],0.81564617288217
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,11,0.96 [0.85-1.07],0.454784345982688
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,11,0.95 [0.84-1.06],0.363775748184155
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,11,0.70 [0.39-1.24],0.220631482029721
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,Inverse variance weighted,11,0.88 [0.61-1.27],0.508728286146208
CFC1,Cryptic protein,Chapter IX Diseases of the circulatory system,Oesophageal varices,Inverse variance weighted,11,1.34 [0.78-2.32],0.28975808311631
CFC1,Cryptic protein,Chapter X Diseases of the respiratory system,Interstitial lung disease,Inverse variance weighted,11,0.93 [0.65-1.34],0.704991277240857
CFC1,Cryptic protein,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,11,1.01 [0.91-1.11],0.909325333859082
CFC1,Cryptic protein,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,11,0.94 [0.77-1.14],0.508373103524989
CFC1,Cryptic protein,Chapter XI Diseases of the digestive system,Cholelithiasis,Inverse variance weighted,11,0.87 [0.72-1.04],0.118337588084419
CFC1,Cryptic protein,Chapter XI Diseases of the digestive system,Other diseases of liver,Inverse variance weighted,11,0.81 [0.63-1.03],0.0842522799527335
CFC1,Cryptic protein,Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,Inverse variance weighted,11,1.10 [0.74-1.63],0.638192537900088
CFC1,Cryptic protein,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),Inverse variance weighted,11,1.03 [0.84-1.26],0.802167849661618
CFC1,Cryptic protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,Inverse variance weighted,11,0.89 [0.73-1.08],0.224085369405404
CFC1,Cryptic protein,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,11,1.10 [0.89-1.38],0.373543792738607
CFC1,Cryptic protein,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,Inverse variance weighted,11,0.65 [0.39-1.07],0.0906476242989379
CFC1,Cryptic protein,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,11,0.87 [0.72-1.05],0.135092886465624
CFC1,Cryptic protein,Chapter XIV Diseases of the genitourinary system,Dialysis,Inverse variance weighted,11,0.81 [0.41-1.59],0.541712846448502
CFC1,Cryptic protein,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,Inverse variance weighted,11,0.77 [0.53-1.12],0.169866671210476
CFC1,Cryptic protein,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,Inverse variance weighted,11,1.10 [0.83-1.46],0.51447365786322
CFC1,Cryptic protein,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,11,0.99 [0.90-1.08],0.768340101030548
CFC1,Cryptic protein,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,11,1.15 [0.82-1.60],0.413912458833671
