Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
MATN3,Matrilin-3,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,Inverse variance weighted,32,1.39 [0.94-2.06],0.100556346733983
MATN3,Matrilin-3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,Inverse variance weighted,32,0.98 [0.77-1.24],0.840329147634867
MATN3,Matrilin-3,Chapter VI Diseases of the nervous system,Falls/tendency to fall,Inverse variance weighted,32,0.99 [0.97-1.01],0.514182288353133
MATN3,Matrilin-3,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,32,0.89 [0.74-1.06],0.193521504738417
MATN3,Matrilin-3,Chapter IX Diseases of the circulatory system,DVT of lower extremities,Inverse variance weighted,32,0.98 [0.89-1.09],0.736378591182588
MATN3,Matrilin-3,Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),Inverse variance weighted,32,0.98 [0.88-1.10],0.761693321572348
MATN3,Matrilin-3,Chapter IX Diseases of the circulatory system,Venous thromboembolism,Inverse variance weighted,32,0.99 [0.91-1.08],0.805756113323742
MATN3,Matrilin-3,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,Inverse variance weighted,32,0.98 [0.90-1.06],0.593518709276353
MATN3,Matrilin-3,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,Inverse variance weighted,32,0.98 [0.94-1.02],0.423905489562412
MATN3,Matrilin-3,Chapter X Diseases of the respiratory system,Pneumonitis due to solids and liquids,Inverse variance weighted,32,0.92 [0.81-1.05],0.203349350168079
MATN3,Matrilin-3,Chapter XI Diseases of the digestive system,Acute peritonitis,Inverse variance weighted,32,1.05 [0.91-1.22],0.471187524465929
MATN3,Matrilin-3,Chapter V Mental and behavioural disorders,Any mental disorder,Inverse variance weighted,32,0.99 [0.97-1.01],0.353853471397681
MATN3,Matrilin-3,Chapter XII Diseases of the skin and subcutaneous tissue,Lupus erythematosus,Inverse variance weighted,32,1.01 [0.81-1.27],0.919375623551325
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,Inverse variance weighted,32,1.01 [0.98-1.03],0.624858034881216
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,Inverse variance weighted,32,0.99 [0.95-1.03],0.627125440911342
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,Inverse variance weighted,32,0.99 [0.96-1.02],0.490397146500492
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,Inverse variance weighted,32,1.02 [0.96-1.07],0.547679964441403
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthrosis,Inverse variance weighted,32,0.94 [0.86-1.03],0.182355702733726
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,Inverse variance weighted,32,0.99 [0.94-1.05],0.782715621530847
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Coxarthrosis, primary",Inverse variance weighted,32,0.99 [0.94-1.05],0.806056482614802
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,Inverse variance weighted,32,1.02 [0.94-1.10],0.659058975364612
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,Inverse variance weighted,32,1.01 [0.98-1.04],0.50983496411549
MATN3,Matrilin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,Inverse variance weighted,32,1.02 [0.98-1.06],0.356559056129362
MATN3,Matrilin-3,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,32,0.96 [0.89-1.04],0.292230276251368
MATN3,Matrilin-3,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,Inverse variance weighted,32,0.87 [0.73-1.04],0.127837309687838
MATN3,Matrilin-3,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,32,0.94 [0.89-1.00],0.0714930158021796
MATN3,Matrilin-3,Chapter XIV Diseases of the genitourinary system,Dialysis,Inverse variance weighted,32,1.03 [0.82-1.30],0.797802923964097
MATN3,Matrilin-3,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,32,0.98 [0.95-1.01],0.167250634121794
