Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Candidiasis,Inverse variance weighted,21,0.98 [0.90-1.08],0.709784631121494
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,Inverse variance weighted,21,0.93 [0.89-0.97],0.0013928432272106
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,Inverse variance weighted,21,0.93 [0.89-0.97],0.0009481752213627
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Mycoses,Inverse variance weighted,21,1.03 [0.96-1.10],0.443565789206327
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,21,1.03 [0.99-1.06],0.118216110545783
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,Inverse variance weighted,21,0.91 [0.64-1.31],0.617603137494231
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,21,1.03 [0.97-1.08],0.341396517905711
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Inverse variance weighted,21,1.03 [0.64-1.65],0.899986674174273
IL19,Interleukin-19,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",Inverse variance weighted,21,1.17 [0.99-1.39],0.0737547244619903
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Early onset COPD,Inverse variance weighted,21,1.07 [0.99-1.15],0.0688216259222991
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Later onset COPD,Inverse variance weighted,21,0.97 [0.92-1.03],0.360782770332602
IL19,Interleukin-19,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,Inverse variance weighted,21,1.01 [0.80-1.29],0.921463111234363
IL19,Interleukin-19,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,21,1.02 [0.96-1.08],0.541878758306482
IL19,Interleukin-19,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,21,1.00 [0.94-1.07],0.882781712673083
IL19,Interleukin-19,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,Inverse variance weighted,21,1.12 [0.80-1.58],0.516184254710348
IL19,Interleukin-19,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic nephropathy, excluding more controls",Inverse variance weighted,21,1.04 [0.94-1.15],0.483484571294601
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,Inverse variance weighted,21,0.85 [0.65-1.11],0.240823785154787
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,Inverse variance weighted,21,0.99 [0.85-1.15],0.869549185067053
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with renal complications,Inverse variance weighted,21,1.03 [0.92-1.15],0.614303115884058
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,Inverse variance weighted,21,1.01 [0.96-1.06],0.665593777548796
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,21,0.98 [0.92-1.04],0.521793126723266
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,Inverse variance weighted,21,0.95 [0.84-1.07],0.374942069239446
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,Inverse variance weighted,21,1.09 [0.91-1.29],0.344768552520533
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,Inverse variance weighted,21,1.01 [0.93-1.10],0.804346240715959
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypokalaemia,Inverse variance weighted,21,0.96 [0.87-1.06],0.451862650548578
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,Inverse variance weighted,21,0.97 [0.88-1.06],0.50967350233394
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,21,1.03 [0.99-1.07],0.167429581829898
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of magnesium metabolism,Inverse variance weighted,21,1.66 [1.06-2.60],0.0280510956499204
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,Inverse variance weighted,21,1.06 [0.94-1.20],0.344463255386234
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,Inverse variance weighted,21,1.00 [0.93-1.08],0.909891824091036
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Vitamin D deficiency,Inverse variance weighted,21,1.02 [0.75-1.39],0.907953530026971
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,Inverse variance weighted,21,1.05 [0.93-1.17],0.441831739286156
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,Inverse variance weighted,21,1.00 [0.90-1.10],0.925186574697519
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",Inverse variance weighted,21,1.01 [0.91-1.12],0.837733837097755
IL19,Interleukin-19,Chapter VI Diseases of the nervous system,Falls/tendency to fall,Inverse variance weighted,21,0.97 [0.95-0.99],0.0089523469576216
IL19,Interleukin-19,Chapter VI Diseases of the nervous system,"Other and unspecified polyneuropathies, also in other diseases",Inverse variance weighted,21,0.94 [0.87-1.01],0.10473395900524
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",Inverse variance weighted,21,1.08 [0.98-1.19],0.14283097384016
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,21,0.98 [0.93-1.02],0.263971085610417
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,Inverse variance weighted,21,0.95 [0.85-1.07],0.420548045338791
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",Inverse variance weighted,21,0.99 [0.94-1.04],0.681884165445732
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Cardiac arrest,Inverse variance weighted,21,0.94 [0.83-1.07],0.35567077323635
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere",Inverse variance weighted,21,0.96 [0.84-1.09],0.517197950511552
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Conduction disorders,Inverse variance weighted,21,1.03 [0.97-1.09],0.3459856331075
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,21,1.04 [1.01-1.08],0.0087698109291149
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,21,0.99 [0.95-1.03],0.642736765938781
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Hypotension,Inverse variance weighted,21,0.97 [0.89-1.06],0.491518661935577
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,21,1.01 [0.97-1.05],0.551466912412286
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,21,1.01 [0.97-1.04],0.632212369128659
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",Inverse variance weighted,21,0.91 [0.60-1.36],0.639271304714502
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,21,0.93 [0.77-1.12],0.432398896648358
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,21,1.02 [0.99-1.05],0.128357666737204
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,21,1.06 [1.01-1.11],0.0120232059497522
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",Inverse variance weighted,21,1.03 [0.99-1.07],0.192549255655222
