Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
ITGB6,Integrin beta-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,Inverse variance weighted,24,1.36 [1.02-1.81],0.038354846765423
ITGB6,Integrin beta-6,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic nephropathy, excluding more controls",Inverse variance weighted,24,0.94 [0.84-1.05],0.283445847990774
ITGB6,Integrin beta-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,Inverse variance weighted,24,1.12 [1.01-1.25],0.0402526585429378
ITGB6,Integrin beta-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with renal complications,Inverse variance weighted,24,0.92 [0.80-1.07],0.292975784204516
ITGB6,Integrin beta-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,Inverse variance weighted,24,0.99 [0.85-1.14],0.864750041716096
ITGB6,Integrin beta-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,Inverse variance weighted,24,0.90 [0.74-1.11],0.324570860870399
ITGB6,Integrin beta-6,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",Inverse variance weighted,24,1.14 [0.72-1.79],0.578175827949672
ITGB6,Integrin beta-6,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,24,0.90 [0.69-1.18],0.447589496784985
ITGB6,Integrin beta-6,Chapter IX Diseases of the circulatory system,Secondary right heart disease,Inverse variance weighted,24,1.01 [0.82-1.25],0.917016623248569
ITGB6,Integrin beta-6,Chapter X Diseases of the respiratory system,Interstitial lung disease,Inverse variance weighted,24,1.04 [0.94-1.16],0.452350213294498
ITGB6,Integrin beta-6,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,Inverse variance weighted,24,0.94 [0.78-1.12],0.476123062580657
ITGB6,Integrin beta-6,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,24,1.00 [0.91-1.11],0.950181153558927
ITGB6,Integrin beta-6,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,Inverse variance weighted,24,0.89 [0.65-1.22],0.452101130311179
ITGB6,Integrin beta-6,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,24,0.98 [0.91-1.06],0.640576038652333
ITGB6,Integrin beta-6,Chapter XIV Diseases of the genitourinary system,Dialysis,Inverse variance weighted,24,0.80 [0.60-1.07],0.126421811152269
ITGB6,Integrin beta-6,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,Inverse variance weighted,24,0.95 [0.84-1.08],0.467685874050401
ITGB6,Integrin beta-6,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,24,0.99 [0.95-1.02],0.470195023962878
ITGB6,Integrin beta-6,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,24,0.92 [0.80-1.06],0.252786645154194
