Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Candidiasis,Inverse variance weighted,19,0.96 [0.78-1.18],0.696571420842478
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,Inverse variance weighted,19,0.96 [0.89-1.04],0.347482954038763
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,Inverse variance weighted,19,0.96 [0.90-1.03],0.240844125237559
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Mycoses,Inverse variance weighted,19,1.00 [0.86-1.15],0.972702938391045
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,19,0.94 [0.87-1.03],0.195089646418105
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,Inverse variance weighted,19,1.03 [0.47-2.29],0.934901698256274
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,19,0.89 [0.79-1.01],0.0617463831731524
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Other viral diseases,Inverse variance weighted,19,0.87 [0.77-1.00],0.0456300745466982
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Inverse variance weighted,19,1.15 [0.40-3.28],0.793350236433094
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",Inverse variance weighted,19,0.90 [0.75-1.07],0.223137352750819
SPP1,Osteopontin,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",Inverse variance weighted,19,1.03 [0.66-1.63],0.890770871399559
SPP1,Osteopontin,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,Inverse variance weighted,19,1.01 [0.76-1.33],0.965648145871022
SPP1,Osteopontin,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,Inverse variance weighted,19,0.98 [0.76-1.27],0.886518179982377
SPP1,Osteopontin,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",Inverse variance weighted,19,0.73 [0.50-1.07],0.106099426134027
