Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Candidiasis,Inverse variance weighted,20,0.97 [0.88-1.07],0.510576617892706
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,Inverse variance weighted,20,1.00 [0.96-1.04],0.983647861657323
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,Inverse variance weighted,20,0.99 [0.96-1.03],0.634668910089526
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Mycoses,Inverse variance weighted,20,1.00 [0.94-1.07],0.9281856219723
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,20,1.01 [0.98-1.04],0.646738076526431
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,Inverse variance weighted,20,1.06 [0.68-1.65],0.789237863504756
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,20,1.00 [0.95-1.06],0.976545826633877
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Inverse variance weighted,20,1.52 [0.93-2.47],0.0937624781412957
KLK4,Kallikrein-4,Chapter II Neoplasms,Leiomyoma of uterus,Inverse variance weighted,20,1.00 [0.96-1.04],0.879419804042863
KLK4,Kallikrein-4,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,Inverse variance weighted,20,0.92 [0.83-1.03],0.149887994210259
KLK4,Kallikrein-4,Chapter X Diseases of the respiratory system,Later onset COPD,Inverse variance weighted,20,1.02 [0.95-1.09],0.619391263965235
KLK4,Kallikrein-4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,Inverse variance weighted,20,0.78 [0.60-0.99],0.0447336270069091
KLK4,Kallikrein-4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,20,1.05 [0.99-1.13],0.124227201287764
KLK4,Kallikrein-4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,20,1.01 [0.96-1.06],0.785450311387919
