Pro_code,ImportanceScore
NINJ1,0.0347682471010854
SFTPA2,0.0318136299672042
DSG4,0.0316437759664691
IL2,0.0293709338866362
MAPT,0.024185058678305
CGREF1,0.0217178049733962
OMG,0.0215723688850525
ZPR1,0.021507838420452
DCTN6,0.0208670567132549
NUDT16,0.0200057183852302
RBP1,0.0195890422026916
NXPH3,0.0156004315782445
WFDC2,0.0145347482967735
SPAG1,0.0144734181659832
ATP5IF1,0.0142625400844817
TNFRSF19,0.0131528430567261
CD276,0.0131077021519323
CCN3,0.0122679969949654
SEMA4C,0.0122140840247541
ATP2B4,0.0120652979350524
PCARE,0.011553023248342
MMP1,0.0112621602777562
LIF,0.0110718324908107
PEPD,0.0109672989022691
SERPINF1,0.0109263375257772
LGALS3,0.0108488008995327
CPXM1,0.0104856054042891
GSTA3,0.0103707645759083
BLOC1S2,0.009368236055656
LSM1,0.0092750322699178
CR2,0.0092238455112875
ADAM15,0.0090211437543892
SOD3,0.0085170254620938
C8B,0.0084303475194424
SLAMF6,0.0081549555746389
TGFBR2,0.0080977738871702
PXDNL,0.0079432849338818
GLO1,0.0077951791616649
FAM171A2,0.0074686053962776
THRAP3,0.0074490994207335
LYPD1,0.0071208976018434
KIAA0319,0.0070243655430965
MEP1B,0.0069883924622722
TIMP3,0.0069452347269889
IL36A,0.0066794847750342
PAPPA,0.0066109927994373
FCER1A,0.0065718331746757
GPA33,0.0065164919550789
PTPN9,0.0064889011884459
APOE,0.0059165935008281
EGFR,0.005689149801842
ARHGEF5,0.0050391704951027
ACOX1,0.0050049186559484
NAGK,0.0049816904455634
FAM20A,0.0047174457392547
IL18RAP,0.0044975079558354
HDGF,0.0044400435525036
MEGF9,0.0043901479536903
SERPING1,0.0043508036710305
GP1BA,0.0042478523000646
CCL22,0.004234776946222
CALB2,0.0041418168593224
CTLA4,0.004114604244573
CLSTN1,0.0041001802910542
PGR,0.0040791374873799
KIR3DL1,0.0039988460603945
GH2,0.0039740251444414
KLK4,0.0039724468486713
ATXN10,0.0039148746477153
PLCB1,0.0038928879897173
PLXNB3,0.0038613575746539
CANT1,0.0038169171915279
BGLAP,0.0037528325022569
CDHR5,0.0037350116249841
AKR1C4,0.0037261531800953
ITIH3,0.0036957934371653
COMP,0.0036822198553649
LYPD3,0.0036806522887355
GFAP,0.0036740227884529
PTTG1,0.0036619159096458
IL20RB,0.0036484567222672
TDGF1,0.0036259202949701
ILKAP,0.0036127469396348
ARHGAP1,0.0035845339557473
PSMA1,0.0035521187465361
TMED1,0.0035169916184773
MEGF10,0.0035145288677691
ROBO4,0.0034755046873372
ANXA2,0.0034607532650239
SH3BGRL2,0.0034526941434774
CRIM1,0.0034502921991901
MUC13,0.0034472283291925
BAIAP2,0.003409282492142
CDH6,0.0033871834241291
ADAMTS13,0.0033737494358397
VEGFD,0.0033638606702173
NOMO1,0.0033428527445555
FGF16,0.0032708603382398
PTK7,0.0032366437852325
TPT1,0.0032106298222478
IL3,0.0032098460897442
SLC34A3,0.0032074315049092
DDX39A,0.0032021852225813
CD8A,0.0031925794015718
IL11,0.0031748967274236
YES1,0.0031538685684847
LY6D,0.0031423604788077
GAD1,0.0031358488424131
MATN3,0.0031261668941088
IFNLR1,0.0031233919224471
MYOM3,0.0030248249448566
TLR2,0.0030025570211075
CTSV,0.0029973891791684
ITGA11,0.0029832614083699
ADAMTS4,0.0029777956800409
ALPP,0.0029729853499968
CTSF,0.0029442245107069
HADH,0.0029143976347151
PLA2G1B,0.0028927316218665
AGRP,0.0028721735907752
NFIC,0.0028607014747072
LEO1,0.0028512129920083
LAIR1,0.0028430769777183
FABP6,0.002842554989287
CFD,0.0028213204105608
PSG1,0.002771805177042
PRC1,0.0027683375129125
CDH1,0.0027477519369123
CD99,0.0027220364013147
CHCHD10,0.0027194675067304
CEACAM5,0.0026940933521522
RCOR1,0.0026901287179495
IL25,0.0026885516003798
LTA4H,0.002598986033006
MAP1LC3A,0.0025854699962646
GABRA4,0.0025807460822595
PON1,0.0025529315370357
VEGFB,0.0025508329455214
MMP7,0.0025506416228159
H2AP,0.0025073573719055
FUT3_FUT5,0.0024953818797209
GZMA,0.0023872453765564
PCSK9,0.0023738410667606
ANXA5,0.0023518782543168
PROS1,0.0023449509664506
IKZF2,0.0022869320029004
GGA1,0.0022439353476276
MICALL2,0.0022386263573576
CDC37,0.0021828160212743
TNFSF13,0.0021801347781743
GC,0.0021616665065393
CACNA1H,0.0021262413824563
LRTM1,0.0020843989082214
TSPAN8,0.0020592770574251
ANGPT1,0.0019635623669119
LSP1,0.0019012181988366
TREM2,0.0015988589022177
