Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
IL6,Interleukin-6,"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",Inverse variance weighted,6,0.74 [0.60-0.93],0.0098876298921171
IL6,Interleukin-6,Chapter IX Diseases of the circulatory system,Angina pectoris,Inverse variance weighted,6,0.87 [0.79-0.96],0.0044793046879101
IL6,Interleukin-6,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",Inverse variance weighted,6,0.79 [0.71-0.88],9.14065425543528e-06
IL6,Interleukin-6,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,Inverse variance weighted,6,0.87 [0.81-0.93],0.0001079677801396
IL6,Interleukin-6,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,6,0.88 [0.81-0.96],0.0023733130254945
IL6,Interleukin-6,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,6,0.89 [0.83-0.95],0.0007821749334904
IL6,Interleukin-6,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,Inverse variance weighted,6,1.86 [1.18-2.94],0.0077748401550084
IL6,Interleukin-6,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",Inverse variance weighted,6,1.14 [1.06-1.23],0.0003786663566817
IL6,Interleukin-6,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,6,1.11 [1.05-1.17],7.94136827464493e-05
IL6,Interleukin-6,Chapter X Diseases of the respiratory system,Pleural effusion,Inverse variance weighted,6,1.29 [1.08-1.55],0.0054653230356741
IL6,Interleukin-6,Chapter X Diseases of the respiratory system,Other diseases of upper respiratory tract,Inverse variance weighted,6,1.08 [1.03-1.13],0.0019579563670043
IL6,Interleukin-6,Chapter XI Diseases of the digestive system,Cholelithiasis,Inverse variance weighted,6,1.13 [1.05-1.21],0.0005319019512276
IL6,Interleukin-6,Chapter XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Inverse variance weighted,6,1.12 [1.03-1.22],0.0063100902632159
