Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Hemiplegia,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,22323,58,1.84 [1.30-2.61],0.0006367085483788
Chapter VI Diseases of the nervous system,Hemiplegia,ADGRG2,Adhesion G-protein coupled receptor G2,22752,61,0.20 [0.10-0.41],1.4090444113608558e-05
Chapter VI Diseases of the nervous system,Hemiplegia,ADM,Pro-adrenomedullin,22934,62,5.44 [2.42-12.24],4.136207453950991e-05
Chapter VI Diseases of the nervous system,Hemiplegia,AGR2,Anterior gradient protein 2 homolog,22044,58,1.47 [1.20-1.80],0.0001677086666285
Chapter VI Diseases of the nervous system,Hemiplegia,AMBP,Protein AMBP,22898,62,5.83 [2.33-14.63],0.0001710310806506
Chapter VI Diseases of the nervous system,Hemiplegia,ANXA10,Annexin A10,22229,58,1.57 [1.28-1.93],1.2932471255246903e-05
Chapter VI Diseases of the nervous system,Hemiplegia,APOA2,Apolipoprotein A-II,19833,50,2.31 [1.41-3.77],0.000833813092092
Chapter VI Diseases of the nervous system,Hemiplegia,AREG,Amphiregulin,22641,61,2.30 [1.60-3.31],6.992884027774204e-06
Chapter VI Diseases of the nervous system,Hemiplegia,B4GALT1,"Beta-1,4-galactosyltransferase 1",22848,60,4.07 [2.06-8.03],5.082425106290488e-05
Chapter VI Diseases of the nervous system,Hemiplegia,BCAN,Brevican core protein,22547,60,0.33 [0.18-0.62],0.000474890466417
Chapter VI Diseases of the nervous system,Hemiplegia,C1QA,Complement C1q subcomponent subunit A,22870,60,4.35 [1.89-9.98],0.0005243051775767
Chapter VI Diseases of the nervous system,Hemiplegia,CA14,Carbonic anhydrase 14,22934,62,0.36 [0.20-0.65],0.0006774997660351
Chapter VI Diseases of the nervous system,Hemiplegia,CCDC80,Coiled-coil domain-containing protein 80,22752,61,2.29 [1.41-3.71],0.0007946527753377
Chapter VI Diseases of the nervous system,Hemiplegia,CCL25,C-C motif chemokine 25,22976,60,2.16 [1.40-3.35],0.0005383979422927
Chapter VI Diseases of the nervous system,Hemiplegia,CCN5,CCN family member 5,22772,60,2.76 [1.67-4.56],7.108249017935008e-05
Chapter VI Diseases of the nervous system,Hemiplegia,CD14,Monocyte differentiation antigen CD14,22339,56,2.16 [1.37-3.40],0.0009747519113955
Chapter VI Diseases of the nervous system,Hemiplegia,CD27,CD27 antigen,22844,61,2.19 [1.46-3.29],0.000165908733618
Chapter VI Diseases of the nervous system,Hemiplegia,CD302,CD302 antigen,22641,61,3.30 [1.97-5.53],5.406789333216944e-06
Chapter VI Diseases of the nervous system,Hemiplegia,CD34,Hematopoietic progenitor cell antigen CD34,22866,60,0.14 [0.06-0.36],3.5765707316637336e-05
Chapter VI Diseases of the nervous system,Hemiplegia,CD59,CD59 glycoprotein,21965,59,3.08 [1.66-5.74],0.0003848876071126
Chapter VI Diseases of the nervous system,Hemiplegia,CDSN,Corneodesmosin,22910,60,2.28 [1.42-3.67],0.0006408144202198
Chapter VI Diseases of the nervous system,Hemiplegia,CHGA,Chromogranin-A,19833,51,1.54 [1.26-1.88],2.944143215781273e-05
Chapter VI Diseases of the nervous system,Hemiplegia,CHRDL1,Chordin-like protein 1,22807,60,3.20 [1.73-5.93],0.000214290846958
Chapter VI Diseases of the nervous system,Hemiplegia,CKAP4,Cytoskeleton-associated protein 4,22876,60,2.62 [1.53-4.50],0.0004721343211603
Chapter VI Diseases of the nervous system,Hemiplegia,CKB,Creatine kinase B-type,19833,51,2.13 [1.39-3.27],0.0005695073642602
Chapter VI Diseases of the nervous system,Hemiplegia,CLEC4D,C-type lectin domain family 4 member D,22694,60,1.80 [1.30-2.48],0.000377793416773
Chapter VI Diseases of the nervous system,Hemiplegia,CLEC5A,C-type lectin domain family 5 member A,22687,61,2.89 [1.57-5.33],0.0006821651455007
Chapter VI Diseases of the nervous system,Hemiplegia,CLMP,CXADR-like membrane protein,22934,62,4.40 [1.89-10.25],0.000589353595637
