Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ACRV1,Acrosomal protein SP-10,16404,144,1.43 [1.29-1.59],2.4349452125981303e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ACY1,Aminoacylase-1,19402,168,1.49 [1.21-1.84],0.0001672612813737
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ADAMTSL4,ADAMTS-like protein 4,16490,144,0.25 [0.13-0.48],2.9156877413820568e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ADGRD1,Adhesion G-protein coupled receptor D1,16558,147,2.14 [1.48-3.08],4.4661232197855085e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ADGRG2,Adhesion G-protein coupled receptor G2,19402,168,0.35 [0.22-0.54],3.885093581804348e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,19029,164,1.32 [1.12-1.55],0.0009964406706818
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,AGT,Angiotensinogen,16912,148,0.18 [0.07-0.45],0.0002086116619575
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ALCAM,CD166 antigen,19641,168,0.25 [0.13-0.49],4.325846104089162e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ANGPTL3,Angiopoietin-related protein 3,19447,166,0.46 [0.32-0.65],1.096158045936376e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,C4BPB,C4b-binding protein beta chain,19483,169,0.44 [0.32-0.62],1.8175916708828631e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CALCA,Calcitonin,19187,165,1.39 [1.19-1.63],2.6025308745093503e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CD274,Programmed cell death 1 ligand 1,19220,165,1.83 [1.30-2.56],0.0005154137060054
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,19311,161,2.05 [1.45-2.89],4.020758343868417e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CDH15,Cadherin-15,19513,168,1.44 [1.22-1.69],1.722786603912237e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CDHR2,Cadherin-related family member 2,19311,161,1.44 [1.19-1.74],0.0001531869985714
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,16824,149,0.67 [0.55-0.81],3.977944369176487e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CGA,Glycoprotein hormones alpha chain,19424,166,0.67 [0.58-0.76],4.265381043599998e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CGB3_CGB5_CGB8,Choriogonadotropin subunit beta 3,16912,148,0.52 [0.36-0.75],0.000494885696568
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CHRDL1,Chordin-like protein 1,19460,167,0.52 [0.37-0.75],0.0003758455888683
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CLEC3B,Tetranectin,16523,146,0.22 [0.11-0.45],2.7396809823209752e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CNTN1,Contactin-1,19641,168,0.41 [0.27-0.63],3.389159125023362e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CNTN4,Contactin-4,19424,166,0.33 [0.19-0.57],6.605170098651087e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CRISP2,Cysteine-rich secretory protein 2,19556,167,1.77 [1.42-2.21],4.040575691830461e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CRTAC1,Cartilage acidic protein 1,19641,168,0.43 [0.29-0.65],5.849823137643685e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,DMP1,Dentin matrix acidic phosphoprotein 1,16490,144,0.67 [0.54-0.83],0.0003091200015645
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,DPP4,Dipeptidyl peptidase 4,19086,162,0.46 [0.30-0.72],0.0006663710526866
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,EDDM3B,Epididymal secretory protein E3-beta,16827,149,1.82 [1.54-2.14],1.3012280974503939e-12
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,19641,168,0.40 [0.26-0.61],2.3998954057349585e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,16490,144,0.49 [0.32-0.73],0.0005491924640296
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,FABP9,Fatty acid-binding protein 9,19354,164,1.47 [1.17-1.84],0.0007651227750016
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,16915,148,0.67 [0.54-0.84],0.000344737971392
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,FSHB,Follitropin subunit beta,16490,144,0.54 [0.45-0.65],2.428237247335393e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,GDNF,Glial cell line-derived neurotrophic factor,18958,161,1.73 [1.27-2.35],0.000468246140475
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,GH1,Somatotropin,19365,167,0.86 [0.79-0.93],0.0003917767316793
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,HMOX1,Heme oxygenase 1,19188,166,1.72 [1.34-2.22],2.6501655848947148e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,IGFBP3,Insulin-like growth factor-binding protein 3,19519,167,0.50 [0.34-0.72],0.0001803594950443
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,IL1RL1,Interleukin-1 receptor-like 1,19581,168,1.77 [1.34-2.34],4.86453054339369e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,IL22,Interleukin-22,16827,149,1.45 [1.22-1.73],2.940202881680562e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,INSL3,Insulin-like 3,16880,146,1.35 [1.21-1.52],1.751394467051269e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,INSL4,Early placenta insulin-like peptide,16827,149,1.60 [1.30-1.97],7.013770551400061e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ITGA11,Integrin alpha-11,19354,164,0.51 [0.34-0.75],0.0007272324009272
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ITGB1,Integrin beta-1,19425,166,0.31 [0.16-0.59],0.000409030258806
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ITGB2,Integrin beta-2,19301,165,0.39 [0.24-0.64],0.0001811882244001
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,KLK3,Prostate-specific antigen,16922,147,1.28 [1.18-1.39],1.926391936942669e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,KLKB1,Plasma kallikrein,16564,148,0.35 [0.20-0.63],0.0004097946456339
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,KRT5,"Keratin, type II cytoskeletal 5",18958,161,1.61 [1.28-2.03],5.855929358847328e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,LEP,Leptin,19402,168,0.70 [0.60-0.81],1.3712390729063665e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,LPL,Lipoprotein lipase,19402,168,0.64 [0.50-0.81],0.0002016176303313
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,LTBP3,Latent-transforming growth factor beta-binding protein 3,18945,162,1.46 [1.19-1.80],0.0003157934952585
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,MMP10,Stromelysin-2,19354,167,1.42 [1.16-1.76],0.0009423404218213
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,MMP3,Stromelysin-1,19424,166,1.43 [1.16-1.75],0.0008004928295074
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,MMP9,Matrix metalloproteinase-9,19384,166,1.47 [1.18-1.85],0.0007272600968818
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,MYLPF,"Myosin regulatory light chain 2, skeletal muscle isoform",16458,142,1.55 [1.24-1.93],0.0001311604446133
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,NELL2,Protein kinase C-binding protein NELL2,19494,168,0.38 [0.24-0.61],4.9314045242868536e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,NOTCH1,Neurogenic locus notch homolog protein 1,19641,168,0.24 [0.10-0.56],0.0008741962022621
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,NPPC,C-type natriuretic peptide,19354,164,1.45 [1.16-1.80],0.0008979868914166
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,NPTX2,Neuronal pentraxin-2,16922,147,2.13 [1.42-3.19],0.0002339207814656
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,OBP2B,Odorant-binding protein 2b,19164,165,1.65 [1.37-2.00],1.5402234048911006e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,OMD,Osteomodulin,19494,168,0.53 [0.40-0.70],1.1181324030460096e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,OXT,Oxytocin-neurophysin 1,19546,168,1.22 [1.12-1.34],2.058482239627733e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,PI16,Peptidase inhibitor 16,16912,148,0.35 [0.19-0.64],0.0007403706932267
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,PI3,Elafin,19152,163,1.47 [1.20-1.81],0.0001871682025501
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,POSTN,Periostin,16922,147,2.27 [1.57-3.29],1.2196514718742083e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,PROK1,Prokineticin-1,19354,164,1.61 [1.36-1.91],3.7898836503046615e-08
