Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,ADM,Pro-adrenomedullin,22649,98,3.74 [1.91-7.31],0.0001159123788111
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,ANXA10,Annexin A10,21958,98,1.37 [1.15-1.63],0.00045067423412
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,ARHGAP1,Rho GTPase-activating protein 1,21975,97,0.42 [0.29-0.62],1.1953514570906198e-05
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,CAPG,Macrophage-capping protein,22268,98,1.67 [1.28-2.18],0.0001662808179125
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,CHGA,Chromogranin-A,19583,83,1.38 [1.17-1.63],0.000120430758115
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,CLEC4A,C-type lectin domain family 4 member A,22409,98,0.43 [0.28-0.66],0.0001060212431872
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,CRYBB2,Beta-crystallin B2,19533,82,1.40 [1.21-1.62],7.580189654438399e-06
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,22605,98,2.28 [1.41-3.67],0.0007702483218148
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,GAST,Gastrin,19533,82,1.35 [1.21-1.52],2.685983265646886e-07
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,GORASP2,Golgi reassembly-stacking protein 2,19476,83,0.43 [0.26-0.70],0.0008397189187454
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,HPGDS,Hematopoietic prostaglandin D synthase,21975,97,0.40 [0.25-0.65],0.0002110791760584
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,IL15,Interleukin-15,22409,98,2.24 [1.42-3.52],0.000516978703093
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,IL4R,Interleukin-4 receptor subunit alpha,22409,98,2.05 [1.44-2.90],5.9196561287641454e-05
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,ITGB5,Integrin beta-5,22561,98,0.37 [0.22-0.62],0.0001540050344917
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,NCS1,Neuronal calcium sensor 1,22649,98,2.73 [1.56-4.80],0.0004672625876551
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,PLAUR,Urokinase plasminogen activator surface receptor,22318,97,2.66 [1.53-4.63],0.0005510595296199
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,TADA3,Transcriptional adapter 3,19475,83,0.39 [0.23-0.68],0.0008654718341249
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,TNFSF13,Tumor necrosis factor ligand superfamily member 13,22566,98,2.77 [1.51-5.07],0.0009453270548347
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,VSIG4,V-set and immunoglobulin domain-containing protein 4,22468,97,2.05 [1.43-2.93],8.207384812699149e-05
