Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,ADA2,Adenosine deaminase 2,23048,70,1.99 [1.28-3.11],0.0022837944020295
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,ANG,Angiogenin,23127,70,2.24 [1.32-3.82],0.0028793963998307
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,APOF,Apolipoprotein F,20118,60,0.36 [0.20-0.65],0.000652080207819
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CCN4,CCN family member 4,23366,71,1.97 [1.26-3.09],0.0031609575326817
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CD59,CD59 glycoprotein,22361,67,2.75 [1.40-5.41],0.0034388726142142
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CD80,T-lymphocyte activation antigen CD80,20092,59,2.44 [1.36-4.39],0.0028480167731305
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CLGN,Calmegin,19557,56,1.70 [1.17-2.47],0.0050738809347821
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CLU,Clusterin,20117,60,1.83 [1.22-2.74],0.0033853402430105
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,COCH,Cochlin,20092,59,1.87 [1.19-2.95],0.0068565401629611
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,COL18A1,Collagen alpha-1(XVIII) chain,23268,69,3.12 [1.32-7.37],0.0093518968008957
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CRH,Corticoliberin,22582,68,0.68 [0.52-0.89],0.0045545333308345
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CRIP2,Cysteine-rich protein 2,22963,70,1.81 [1.29-2.54],0.0005439683057576
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CST3,Cystatin-C,23230,70,2.45 [1.31-4.56],0.0048494501355729
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,CYB5A,Cytochrome b5,19396,57,1.38 [1.09-1.74],0.0066209147323407
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,DPY30,Protein dpy-30 homolog,23303,71,1.51 [1.15-1.99],0.0028507643985035
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,EFNA4,Ephrin-A4,22923,70,2.09 [1.21-3.59],0.0080560495762811
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,FABP4,"Fatty acid-binding protein, adipocyte",23457,69,1.69 [1.16-2.46],0.005979482255768
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,FSHB,Follitropin subunit beta,19543,57,1.79 [1.31-2.43],0.0002054517868914
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual field defects,GAST,Gastrin,20044,58,1.33 [1.15-1.54],0.0001374920022377
