Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Angina pectoris,RTN4R,Reticulon-4 receptor,Inverse variance weighted,26,1.07 [1.02-1.12],0.0055282373888402
Chapter IX Diseases of the circulatory system,Angina pectoris,PTGR1,Prostaglandin reductase 1,Inverse variance weighted,18,1.05 [1.00-1.10],0.0430871320086181
Chapter IX Diseases of the circulatory system,Angina pectoris,MB,Myoglobin,Inverse variance weighted,10,0.88 [0.79-0.99],0.0265266673782964
Chapter IX Diseases of the circulatory system,Angina pectoris,APOL1,Apolipoprotein L1,Inverse variance weighted,49,1.06 [1.03-1.09],0.0004798597823154
Chapter IX Diseases of the circulatory system,Angina pectoris,MMP10,Stromelysin-2,Inverse variance weighted,30,1.04 [1.00-1.09],0.0403107511316199
Chapter IX Diseases of the circulatory system,Angina pectoris,MFAP4,Microfibril-associated glycoprotein 4,Inverse variance weighted,19,1.08 [1.01-1.15],0.0313386590194118
Chapter IX Diseases of the circulatory system,Angina pectoris,POMC,Pro-opiomelanocortin,Inverse variance weighted,17,0.90 [0.82-0.99],0.0297433162114746
Chapter IX Diseases of the circulatory system,Angina pectoris,KRT18,"Keratin, type I cytoskeletal 18",Inverse variance weighted,8,1.17 [1.02-1.34],0.0250884223528766
Chapter IX Diseases of the circulatory system,Angina pectoris,NFASC,Neurofascin,Inverse variance weighted,19,0.94 [0.89-0.99],0.0111728579690556
Chapter IX Diseases of the circulatory system,Angina pectoris,HYAL1,Hyaluronidase-1,Inverse variance weighted,23,1.05 [1.00-1.10],0.0383042106931009
Chapter IX Diseases of the circulatory system,Angina pectoris,GRN,Progranulin,Inverse variance weighted,46,1.08 [1.03-1.12],0.0003046809065771
Chapter IX Diseases of the circulatory system,Angina pectoris,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.19 [1.11-1.29],3.34555988556397e-06
Chapter IX Diseases of the circulatory system,Angina pectoris,PCSK9,Proprotein convertase subtilisin/kexin type 9,Inverse variance weighted,13,1.26 [1.16-1.37],5.37259935580133e-08
Chapter IX Diseases of the circulatory system,Angina pectoris,ICAM5,Intercellular adhesion molecule 5,Inverse variance weighted,49,1.04 [1.01-1.07],0.0127117424099499
Chapter IX Diseases of the circulatory system,Angina pectoris,ADIPOQ,Adiponectin,Inverse variance weighted,37,0.93 [0.88-0.99],0.0233263779608373
Chapter IX Diseases of the circulatory system,Angina pectoris,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,11,1.13 [1.07-1.20],4.52869074746843e-05
Chapter IX Diseases of the circulatory system,Angina pectoris,LAYN,Layilin,Inverse variance weighted,23,0.93 [0.89-0.98],0.005266309082669
