Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,CDH1,Cadherin-1,Inverse variance weighted,17,0.95 [0.91-1.00],0.0388156201782717
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.07 [1.01-1.14],0.0338968577921577
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,CTSZ,Cathepsin Z,Inverse variance weighted,16,1.04 [1.01-1.08],0.0094364888022242
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,CD46,Membrane cofactor protein,Inverse variance weighted,3,0.86 [0.76-0.97],0.0122784635623033
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,Inverse variance weighted,30,0.95 [0.91-1.00],0.0345749784733071
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,WFDC12,WAP four-disulfide core domain protein 12,Inverse variance weighted,59,1.05 [1.02-1.07],0.0001890082489429
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,1.17 [1.04-1.33],0.0112827776597347
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,IL15RA,Interleukin-15 receptor subunit alpha,Inverse variance weighted,17,0.96 [0.92-1.00],0.0395151468099076
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,PLAU,Urokinase-type plasminogen activator,Inverse variance weighted,27,0.95 [0.92-0.99],0.0093843281099895
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,GGT5,Glutathione hydrolase 5 proenzyme,Inverse variance weighted,20,0.95 [0.92-0.98],0.0023008826438084
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.90 [0.81-0.99],0.0357412922633836
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,CCL7,C-C motif chemokine 7,Inverse variance weighted,14,0.91 [0.84-0.99],0.0224828192665507
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,C7,Complement component C7,Inverse variance weighted,60,1.02 [1.00-1.04],0.044884733654425
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,C1QA,Complement C1q subcomponent subunit A,Inverse variance weighted,36,1.04 [1.01-1.07],0.0127641288744699
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,KLK6,Kallikrein-6,Inverse variance weighted,6,1.07 [1.00-1.14],0.0492170980788873
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,Inverse variance weighted,21,1.09 [1.03-1.16],0.0048838036493346
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,XCL1,Lymphotactin,Inverse variance weighted,47,0.98 [0.96-1.00],0.0338529869162663
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,0.96 [0.93-1.00],0.0482206220184304
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,MDK,Midkine,Inverse variance weighted,19,0.93 [0.88-0.98],0.011051402634565
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,SCG3,Secretogranin-3,Inverse variance weighted,48,0.97 [0.95-1.00],0.0263372526572006
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,HIP1R,Huntingtin-interacting protein 1-related protein,Inverse variance weighted,2,0.89 [0.79-1.00],0.0443454944126615
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,TIMP4,Metalloproteinase inhibitor 4,Inverse variance weighted,24,0.96 [0.93-1.00],0.0274715062819079
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,REG1A,Lithostathine-1-alpha,Inverse variance weighted,26,1.04 [1.00-1.08],0.0324578435315874
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,CD300LF,CMRF35-like molecule 1,Inverse variance weighted,35,0.97 [0.95-0.99],0.0138622857973486
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.05 [1.01-1.10],0.0203416605122285
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,OCLN,Occludin,Inverse variance weighted,3,1.12 [1.01-1.24],0.0321108146673493
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,GPR37,Prosaposin receptor GPR37,Inverse variance weighted,62,1.03 [1.01-1.05],0.0110160612483835
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,CXCL16,C-X-C motif chemokine 16,Inverse variance weighted,23,0.95 [0.90-1.00],0.0370847262595503
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,RARRES2,Retinoic acid receptor responder protein 2,Inverse variance weighted,4,0.89 [0.83-0.96],0.0012217442222605
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,CCN3,CCN family member 3,Inverse variance weighted,20,1.07 [1.02-1.12],0.0048285878784004
Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,PAM,Peptidyl-glycine alpha-amidating monooxygenase,Inverse variance weighted,44,0.98 [0.96-1.00],0.0278998288886991
