Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,RELT,Tumor necrosis factor receptor superfamily member 19L,Inverse variance weighted,19,0.92 [0.87-0.98],0.0140720808283467
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,AGRN,Agrin,Inverse variance weighted,31,0.91 [0.85-0.98],0.0100835277618711
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,IL1RN,Interleukin-1 receptor antagonist protein,Inverse variance weighted,12,1.20 [1.01-1.43],0.034831400840072
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,PCSK9,Proprotein convertase subtilisin/kexin type 9,Inverse variance weighted,13,1.25 [1.13-1.38],1.53947875911075e-05
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,CD302,CD302 antigen,Inverse variance weighted,17,0.91 [0.85-0.99],0.0184761476388197
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,HYAL1,Hyaluronidase-1,Inverse variance weighted,23,1.08 [1.01-1.15],0.018758764427267
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,Inverse variance weighted,27,0.91 [0.85-0.98],0.0077350261262245
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,TNFSF11,Tumor necrosis factor ligand superfamily member 11,Inverse variance weighted,20,0.91 [0.84-0.98],0.010436902807238
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,LPA,Apolipoprotein(a),Inverse variance weighted,46,1.18 [1.15-1.22],9.09867534344373e-24
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,REN,Renin,Inverse variance weighted,12,1.16 [1.01-1.34],0.0368921501282702
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,NRP1,Neuropilin-1,Inverse variance weighted,26,0.93 [0.86-1.00],0.0452588442454781
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,REG1B,Lithostathine-1-beta,Inverse variance weighted,26,1.11 [1.03-1.20],0.0078085017172493
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,PLA2G7,Platelet-activating factor acetylhydrolase,Inverse variance weighted,21,1.58 [1.29-1.94],9.98928355958876e-06
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,APOC1,Apolipoprotein C-I,Inverse variance weighted,18,0.84 [0.71-1.00],0.0491675294735914
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,11,1.16 [1.06-1.27],0.0009008868972922
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.27 [1.14-1.42],2.3567571385695e-05
