Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,0.72 [0.53-0.97],0.0281702603141382
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,KLK8,Kallikrein-8,Inverse variance weighted,17,0.91 [0.83-0.99],0.0328256791059917
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,LGALS4,Galectin-4,Inverse variance weighted,19,0.90 [0.84-0.97],0.0043780099549591
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,ULBP2,UL16-binding protein 2,Inverse variance weighted,37,1.07 [1.01-1.13],0.0231841592717996
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,CD300C,CMRF35-like molecule 6,Inverse variance weighted,33,0.92 [0.87-0.97],0.0009623931138995
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,ADA2,Adenosine deaminase 2,Inverse variance weighted,18,1.11 [1.01-1.22],0.0240003758670682
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,IL6,Interleukin-6,Inverse variance weighted,6,0.85 [0.73-0.99],0.0408331843851344
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,1.27 [1.08-1.48],0.0032893303984546
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.20 [1.03-1.40],0.018388072043532
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Inverse variance weighted,23,1.11 [1.01-1.22],0.0245554434032099
Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,TMPRSS11D,Transmembrane protease serine 11D,Inverse variance weighted,4,1.26 [1.02-1.55],0.0324125359665474
