Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Pleural effusion,MDK,Midkine,Inverse variance weighted,19,1.44 [1.04-2.00],0.0268235267195046
Chapter X Diseases of the respiratory system,Pleural effusion,OSMR,Oncostatin-M-specific receptor subunit beta,Inverse variance weighted,40,0.93 [0.87-1.00],0.0487526336453262
Chapter X Diseases of the respiratory system,Pleural effusion,DTX3,Probable E3 ubiquitin-protein ligase DTX3,Inverse variance weighted,16,1.24 [1.05-1.46],0.0123749462665246
Chapter X Diseases of the respiratory system,Pleural effusion,LRP11,Low-density lipoprotein receptor-related protein 11,Inverse variance weighted,42,1.09 [1.02-1.17],0.0177714897455606
Chapter X Diseases of the respiratory system,Pleural effusion,IL12B,Interleukin-12 subunit beta,Inverse variance weighted,63,0.92 [0.86-0.98],0.0128963430551732
Chapter X Diseases of the respiratory system,Pleural effusion,EPHB6,Ephrin type-B receptor 6,Inverse variance weighted,11,0.87 [0.76-0.99],0.0339910987282135
Chapter X Diseases of the respiratory system,Pleural effusion,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,1.26 [1.11-1.43],0.0002376565902367
Chapter X Diseases of the respiratory system,Pleural effusion,SPON1,Spondin-1,Inverse variance weighted,25,0.90 [0.82-1.00],0.0498643662931666
Chapter X Diseases of the respiratory system,Pleural effusion,BSG,Basigin,Inverse variance weighted,8,1.28 [1.02-1.61],0.0323865418200032
Chapter X Diseases of the respiratory system,Pleural effusion,LY6D,Lymphocyte antigen 6D,Inverse variance weighted,31,0.91 [0.84-0.99],0.0286813604037218
Chapter X Diseases of the respiratory system,Pleural effusion,CTSL,Cathepsin L1,Inverse variance weighted,29,0.86 [0.75-1.00],0.0485690781605417
Chapter X Diseases of the respiratory system,Pleural effusion,CLEC7A,C-type lectin domain family 7 member A,Inverse variance weighted,32,1.06 [1.00-1.13],0.044224024577112
Chapter X Diseases of the respiratory system,Pleural effusion,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,25,1.11 [1.01-1.23],0.0385874933068437
Chapter X Diseases of the respiratory system,Pleural effusion,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,Inverse variance weighted,42,0.88 [0.79-0.98],0.015666585233625
Chapter X Diseases of the respiratory system,Pleural effusion,IL6,Interleukin-6,Inverse variance weighted,6,1.29 [1.08-1.55],0.0054653230356741
Chapter X Diseases of the respiratory system,Pleural effusion,CLEC14A,C-type lectin domain family 14 member A,Inverse variance weighted,4,0.69 [0.51-0.93],0.0146530862065977
Chapter X Diseases of the respiratory system,Pleural effusion,IL12A_IL12B,Interleukin-12,Inverse variance weighted,57,0.89 [0.83-0.96],0.0021580095545046
Chapter X Diseases of the respiratory system,Pleural effusion,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,9,0.73 [0.58-0.93],0.0096484919901343
Chapter X Diseases of the respiratory system,Pleural effusion,SIGLEC1,Sialoadhesin,Inverse variance weighted,31,1.16 [1.05-1.28],0.0034002944889266
Chapter X Diseases of the respiratory system,Pleural effusion,LTBR,Tumor necrosis factor receptor superfamily member 3,Inverse variance weighted,16,0.89 [0.79-1.00],0.0483425724074366
Chapter X Diseases of the respiratory system,Pleural effusion,CHI3L1,Chitinase-3-like protein 1,Inverse variance weighted,28,0.92 [0.87-0.98],0.0098915185021461
Chapter X Diseases of the respiratory system,Pleural effusion,B2M,Beta-2-microglobulin,Inverse variance weighted,7,1.53 [1.10-2.14],0.0120999177388827
