Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,B2M,Beta-2-microglobulin,Inverse variance weighted,7,1.19 [1.03-1.38],0.018846028502404
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,10,1.11 [1.05-1.18],0.0004643101287759
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,27,1.08 [1.01-1.15],0.0153570939990709
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CSTB,Cystatin-B,Inverse variance weighted,25,1.04 [1.01-1.08],0.0239664110961285
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.85 [0.76-0.95],0.0041137940868078
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CD80,T-lymphocyte activation antigen CD80,Inverse variance weighted,26,0.96 [0.92-0.99],0.0135098796158082
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.11 [1.05-1.17],0.0001545661848773
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,TNC,Tenascin,Inverse variance weighted,57,1.03 [1.00-1.06],0.0477069661198697
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,EFNA4,Ephrin-A4,Inverse variance weighted,5,0.87 [0.76-1.00],0.0471049536466404
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,31,0.93 [0.87-0.99],0.0228965730193817
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.13 [1.02-1.25],0.0176029767592013
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CD302,CD302 antigen,Inverse variance weighted,17,0.90 [0.86-0.95],0.000120897305705
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,1.05 [1.01-1.08],0.0128937342666162
