Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XI Diseases of the digestive system,NAFLD,GOT1,"Aspartate aminotransferase, cytoplasmic",Wald ratio,1,19.06 [4.41-82.32],7.86372325507201e-05,cis
Chapter XI Diseases of the digestive system,NAFLD,SHMT1,"Serine hydroxymethyltransferase, cytosolic",Inverse variance weighted,42,1.16 [1.07-1.26],0.000624302684151384,cis
Chapter XI Diseases of the digestive system,NAFLD,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,0.41 [0.24-0.7],0.00104577857927195,cis
Chapter XI Diseases of the digestive system,NAFLD,GGT1,Glutathione hydrolase 1 proenzyme,Inverse variance weighted,10,1.38 [1.13-1.69],0.00196266758693293,cis
Chapter XI Diseases of the digestive system,NAFLD,THOP1,Thimet oligopeptidase,Inverse variance weighted,5,0.72 [0.58-0.89],0.00243071265532044,cis
Chapter XI Diseases of the digestive system,NAFLD,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,3,0.55 [0.37-0.81],0.0028134030716536,cis
Chapter XI Diseases of the digestive system,NAFLD,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",Inverse variance weighted,27,1.18 [1.04-1.33],0.0084615809631832,cis
Chapter XI Diseases of the digestive system,NAFLD,PLAU,Urokinase-type plasminogen activator,Inverse variance weighted,4,0.64 [0.45-0.9],0.0101883917897273,cis
Chapter XI Diseases of the digestive system,NAFLD,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,21,0.63 [0.43-0.91],0.0131448806944031,cis
Chapter XI Diseases of the digestive system,NAFLD,LGALS3BP,Galectin-3-binding protein,Inverse variance weighted,4,1.62 [1.08-2.44],0.0205051629811599,cis
Chapter XI Diseases of the digestive system,NAFLD,SEMA3F,Semaphorin-3F,Inverse variance weighted,15,1.5 [1.05-2.13],0.0248703422162098,cis
Chapter XI Diseases of the digestive system,NAFLD,LTBP3,Latent-transforming growth factor beta-binding protein 3,Inverse variance weighted,17,0.86 [0.76-0.98],0.02524471633024,cis
